sector,property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 109,flat,ats kocoon,2.2,10501.0,2095.04,3.0,4.0,3,13.0,Relatively New,1860.0,0,0,1,0,0,0,165,698.3466666666667
sector 105,house,independent,0.37,8222.0,450.0,2.0,2.0,1.0,1.0,Moderately Old,450.0,1,0,0,0,0,0,0,225.0
sector 77,flat,umang winter hills,1.0,7500.0,1333.33,2.0,2.0,2,3.0,New Property,1489.0,0,0,0,0,0,0,74,666.665
sector 66,house,emaar mgf marbella,12.0,38095.0,3150.0,5.0,6.0,3+,4.0,New Property,3150.0,0,1,1,0,0,0,38,630.0
sector 83,flat,vatika gurgaon,1.25,6313.0,1980.04,3.0,3.0,2,12.0,Moderately Old,1700.0,0,0,1,0,0,0,95,660.0133333333333
new palam,house,independent,2.0,14914.0,1341.0,2.0,4.0,3.0,3.0,Relatively New,1341.0,0,1,0,0,1,2,36,670.5
sector 79,flat,mapsko mount ville,1.3,8024.0,1620.14,3.0,3.0,3+,1.0,Relatively New,1212.0,0,0,0,0,0,2,140,540.0466666666667
sector 2,flat,bestech park view residency,1.01,7137.0,1415.16,2.0,2.0,3,0.0,Moderately Old,1281.0,0,0,0,0,0,0,92,707.58
sushant lok,flat,ansal harmony homes,1.12,10666.0,1050.07,2.0,2.0,1,0.0,Old Property,950.0,0,0,0,0,0,0,72,525.035
sector 70,flat,tulip ivory,2.0,8333.0,2400.1,4.0,5.0,3+,2.0,Relatively New,2172.0,0,0,1,0,0,2,49,600.025
sector 37d,flat,bptp park generations,1.5,9868.0,1520.06,3.0,2.0,3+,17.0,Relatively New,1376.0,0,0,0,0,0,0,42,506.68666666666667
sector 86,flat,dlf the skycourt,1.5,7894.0,1900.18,3.0,3.0,1,16.0,Relatively New,1719.0,1,0,0,0,0,0,49,633.3933333333333
sector 109,flat,sbtl caladium,1.2,6382.0,1880.29,3.0,2.0,2,8.0,Relatively New,1701.0,0,0,0,0,0,0,151,626.7633333333333
b block,house,independent,15.5,28233.0,5490.0,5.0,6.0,3.0,3.0,Moderately Old,5490.0,0,1,1,1,1,0,76,1098.0
sector 90,flat,dlf new town heights,1.65,6979.0,2364.24,4.0,4.0,3+,15.0,Moderately Old,2139.0,0,0,1,0,0,2,137,591.06
sector 49,house,ss aaron ville,6.75,19737.0,3420.0,5.0,4.0,2.0,2.0,Old Property,3420.0,0,0,1,1,1,0,78,684.0
sector 106,flat,paras dews,1.42,6029.0,2355.28,4.0,6.0,3+,11.0,Relatively New,2131.0,0,0,1,0,0,0,143,588.82
sector 99a,flat,pareena coban residences,1.05,6774.0,1550.04,2.0,2.0,3,2.0,Relatively New,1390.0,0,0,0,0,1,0,49,775.02
sector 83,flat,vatika gurgaon,1.19,7437.0,1600.11,3.0,3.0,2,10.0,Relatively New,1778.0,0,0,1,0,0,2,35,533.37
sector 99,flat,pivotal riddhi siddhi,0.4,4444.0,900.09,2.0,2.0,2,9.0,New Property,733.0,0,0,0,0,0,0,60,450.045
sector 22,flat,ambience creacions,2.55,13709.0,1860.09,3.0,3.0,3,8.0,Relatively New,1860.09,1,0,0,0,0,2,125,620.03
sector 102,flat,shapoorji pallonji joyville gurugram,1.8,10638.0,1692.05,3.0,3.0,3,5.0,Relatively New,1531.0,0,0,0,0,0,0,49,564.0166666666667
sector 95,flat,sidhartha ncr one phase,0.9,4500.0,2000.0,3.0,3.0,1,15.0,Relatively New,2000.0,0,0,0,0,0,0,60,666.6666666666666
sector 79,flat,godrej aria,1.45,9062.0,1600.09,2.0,2.0,3+,9.0,Relatively New,1494.0,0,0,0,0,1,0,113,800.045
sector 107,flat,signature global solera,0.25,7862.0,317.99,1.0,1.0,0,0.0,Relatively New,318.0,0,0,0,0,0,0,55,317.99
sector 65,flat,m3m heights,2.5,13600.0,1838.24,3.0,3.0,3,19.0,Under Construction,1654.0,0,0,0,0,0,0,48,612.7466666666667
sector 112,flat,experion windchants,6.5,10416.0,6240.4,4.0,5.0,3,11.0,Relatively New,4800.0,0,0,0,0,0,0,55,1560.1
sector 39,house,independent,1.8,21875.0,822.9,1.0,1.0,2.0,3.0,Relatively New,800.0,0,0,0,0,0,0,0,822.9
sector 99,flat,pivotal riddhi siddhi,0.5,8517.0,587.06,2.0,1.0,2,7.0,New Property,652.0,0,0,0,0,0,0,24,293.53
dlf phase,flat,dlf regency park,1.35,11992.0,1125.75,2.0,2.0,2,1.0,Moderately Old,1109.0,0,0,0,0,0,0,0,562.875
sector 71,flat,chd avenue,1.4,7945.0,1762.11,3.0,3.0,2,1.0,Moderately Old,1958.0,0,1,0,0,0,2,125,587.37
sector 95,flat,ramsons kshitij,0.22,6470.0,340.03,1.0,1.0,1,2.0,New Property,308.0,0,0,0,0,0,0,0,340.03
sector 104,flat,puri emerald bay,2.55,10408.0,2450.04,4.0,4.0,3+,5.0,Relatively New,2303.0,0,0,1,0,0,0,49,612.51
sector 106,flat,paras dews,0.88,6353.0,1385.17,2.0,2.0,3+,3.0,Relatively New,1120.0,0,0,0,0,0,0,49,692.585
sector 37d,flat,ramprastha primera,1.2,13333.0,900.02,3.0,3.0,3,5.0,Relatively New,1000.0,0,0,0,1,0,0,50,300.00666666666666
sector 112,flat,experion windchants,3.75,13383.0,2802.06,3.0,3.0,2,21.0,Relatively New,2225.0,0,0,1,0,0,2,159,934.02
sector 3,house,independent,0.8,8155.0,981.0,2.0,4.0,1.0,2.0,Moderately Old,981.0,0,0,0,0,0,0,0,490.5
sector 90,flat,dlf new town heights,1.9,6967.0,2727.14,4.0,4.0,3+,19.0,Relatively New,2512.0,0,0,1,1,0,2,174,681.785
sohna road,flat,mvn athens,0.24,7056.0,340.14,1.0,1.0,1,12.0,Relatively New,378.0,0,0,0,0,0,0,66,340.14
sector 104,flat,zara aavaas,0.49,6577.0,745.02,3.0,2.0,2,7.0,Under Construction,695.0,0,0,0,0,0,0,74,248.34
sector 56,flat,sobha smriti apartments,0.5,8333.0,600.02,1.0,1.0,2,3.0,Old Property,667.0,0,0,0,0,0,0,0,600.02
sector 68,flat,supertech new soft launch,0.84,7119.0,1179.94,2.0,2.0,2,7.0,New Property,1180.0,0,0,0,0,0,0,0,589.97
sector 33,house,unitech uniworld resorts,9.55,19293.0,4950.0,6.0,7.0,3+,2.0,Relatively New,4950.0,0,1,1,1,1,2,126,825.0
sector 107,flat,signature global solera,0.6,8000.0,750.0,3.0,2.0,2,8.0,Relatively New,750.0,0,0,0,0,0,0,55,250.0
sector 82,flat,vatika the seven lamps,0.94,6533.0,1438.85,2.0,2.0,3+,9.0,Relatively New,1299.0,0,0,0,0,1,2,117,719.425
sector 107,flat,signature global solera,0.49,8222.0,595.96,2.0,2.0,1,8.0,Relatively New,598.0,1,0,0,0,0,1,49,297.98
sector 82,flat,vatika independent floors,0.67,5826.0,1150.02,2.0,2.0,3,2.0,Moderately Old,1150.0,0,0,0,0,0,0,53,575.01
sector 11,house,independent,0.95,7308.0,1299.9,5.0,3.0,0,1.0,Relatively New,1300.0,0,0,0,0,0,0,0,259.98
sector 65,flat,m3m golfestate,6.15,18331.0,3354.97,3.0,4.0,2,20.0,Relatively New,3355.0,0,0,0,0,0,0,34,1118.3233333333333
sector 63a,flat,signature global city 63a,1.55,14783.0,1048.5,2.0,2.0,2,2.0,Under Construction,1167.0,0,0,0,0,0,0,0,524.25
sector 68,flat,m3m sierra 68,1.1,8986.0,1224.13,2.0,2.0,3,1.0,Relatively New,1150.0,0,0,0,0,0,2,127,612.065
sector 39,house,independent,0.34,7555.0,450.0,1.0,1.0,1.0,1.0,Moderately Old,450.0,0,0,0,0,0,0,0,450.0
sector 85,flat,ss the leaf,2.2,6934.0,3172.77,4.0,5.0,3+,4.0,Relatively New,2545.0,0,0,0,0,0,0,106,793.1925
sector 107,flat,signature global solera,0.35,6398.0,547.05,2.0,2.0,2,8.0,Relatively New,608.0,0,0,0,0,0,0,45,273.525
sector 70a,flat,aipl the peaceful homes,2.52,10723.0,2350.09,3.0,4.0,3,8.0,Relatively New,2127.0,0,0,1,0,0,0,174,783.3633333333333
sector 82,flat,vatika the seven lamps,0.86,6022.0,1428.1,2.0,2.0,2,12.0,Relatively New,1294.0,0,0,0,0,1,2,135,714.05
sector 109,flat,raheja atharva,0.79,7931.0,996.09,3.0,2.0,2,3.0,Relatively New,1213.0,0,0,0,0,0,2,44,332.03000000000003
sector 67,flat,bestech park view spa next,2.7,11489.0,2350.07,4.0,4.0,3+,9.0,Moderately Old,2127.0,0,1,1,0,0,2,149,587.5175
sector 109,flat,ats tourmaline,1.75,8139.0,2150.14,3.0,4.0,3+,2.0,Relatively New,1946.0,1,0,1,0,0,0,65,716.7133333333333
sector 77,flat,umang winter hills,1.4,6340.0,2208.2,3.0,3.0,3,10.0,Relatively New,1735.0,0,0,0,0,0,0,28,736.0666666666666
sector 67,flat,shree vardhman mantra,0.56,7000.0,800.0,2.0,2.0,1,8.0,New Property,889.0,0,0,0,0,0,0,65,400.0
sector 99a,flat,pareena coban residences,1.23,6159.0,1997.08,3.0,5.0,3,5.0,Relatively New,1807.0,0,0,1,0,0,0,99,665.6933333333333
sector 108,flat,sobha city,2.5,14611.0,1711.04,3.0,3.0,2,19.0,New Property,1480.0,0,0,0,0,0,0,166,570.3466666666667
sector 37d,flat,ramprastha the atrium,1.0,7782.0,1285.02,3.0,3.0,2,4.0,Relatively New,1163.0,0,0,0,0,0,0,13,428.34
sector 84,flat,antriksh heights,0.84,4869.0,1725.2,3.0,3.0,3+,8.0,New Property,1561.0,0,1,0,0,0,0,60,575.0666666666667
sector 85,flat,ss the leaf,2.2,5641.0,3900.02,4.0,6.0,3,10.0,Relatively New,3920.0,0,0,1,0,0,0,174,975.005
sector 99a,flat,prime habitat,0.26,4745.0,547.95,2.0,2.0,1,6.0,Relatively New,611.0,1,0,0,0,0,0,79,273.975
sector 66,flat,emaar mgf the palm drive,3.2,17777.0,1800.08,3.0,3.0,3,12.0,Relatively New,1800.08,0,1,1,1,1,0,117,600.0266666666666
sector 90,flat,shree vardhman flora,0.9,4615.0,1950.16,3.0,4.0,3,4.0,Relatively New,1765.0,0,0,1,0,0,0,165,650.0533333333334
sector 1a,flat,green campus chs,0.9,3935.0,2287.17,3.0,3.0,3+,6.0,Moderately Old,2070.0,0,0,1,0,0,0,5,762.39
sector 37d,flat,signature global the millennia,0.55,9166.0,600.04,2.0,2.0,3,3.0,New Property,610.0,0,0,0,0,0,0,71,300.02
sector 90,flat,shree vardhman flora,0.65,5000.0,1300.0,2.0,2.0,2,12.0,Old Property,1176.0,0,0,0,0,1,0,103,650.0
sector 28,house,project housing board colony,2.58,17695.0,1458.0,4.0,2.0,2.0,2.0,Moderately Old,1458.0,0,0,0,0,0,0,0,364.5
sector 33,flat,shree balaji appartment,0.4,5000.0,800.0,2.0,2.0,2,1.0,Relatively New,724.0,0,0,0,0,0,1,0,400.0
sector 4,flat,shri ram apartments,0.46,5111.0,900.02,2.0,2.0,1,1.0,Relatively New,1000.0,0,0,0,0,0,2,69,450.01
sector 65,flat,emaar mgf emerald floors premier,2.36,14303.0,1650.0,3.0,3.0,3,2.0,Relatively New,1524.0,0,0,1,0,1,2,136,550.0
sector 69,flat,tulip violet,1.66,10134.0,1638.05,3.0,3.0,2,0.0,Relatively New,1482.0,0,0,0,0,0,0,157,546.0166666666667
sector 92,flat,sare crescent parc royal greens phase 1,0.75,4325.0,1734.1,4.0,4.0,3+,3.0,Relatively New,1734.0,0,0,0,0,0,0,93,433.525
sector 103,flat,satya the hermitage,1.12,5625.0,1991.11,3.0,4.0,3+,9.0,New Property,1734.0,0,0,1,0,0,0,49,663.7033333333333
sector 83,flat,vatika lifestyle homes,1.04,5699.0,1824.88,3.0,2.0,2,2.0,Moderately Old,1500.0,0,0,0,0,0,0,95,608.2933333333334
sohna road,flat,hcbs sports ville,0.38,5067.0,749.95,2.0,2.0,2,9.0,Relatively New,750.0,0,0,0,0,0,0,0,374.975
sector 51,flat,orchid island,0.71,7891.0,899.76,2.0,2.0,1,4.0,Relatively New,1007.0,0,0,0,0,0,0,23,449.88
sector 86,flat,ansal heights 86,0.87,5367.0,1621.02,2.0,2.0,1,12.0,New Property,1231.0,1,0,0,0,0,2,45,810.51
sector 54,flat,suncity heights,3.25,14118.0,2302.03,3.0,3.0,3+,0.0,Old Property,2558.0,0,1,0,0,0,2,120,767.3433333333334
sector 77,flat,umang winter hills,0.71,5305.0,1338.36,2.0,2.0,2,6.0,Relatively New,1057.0,0,0,0,0,1,0,108,669.18
sector 49,flat,orchid petals,4.79,11628.0,4119.37,5.0,5.0,3+,14.0,Relatively New,3724.0,0,1,1,0,1,0,49,823.874
sector 37c,flat,corona optus,1.26,7250.0,1737.93,3.0,3.0,3,4.0,New Property,1400.0,0,0,0,0,0,0,28,579.3100000000001
sector 14,house,independent,3.4,15111.0,2250.0,3.0,3.0,3.0,1.0,Old Property,2250.0,0,0,0,0,0,0,32,750.0
sector 88a,flat,godrej icon,1.65,9041.0,1825.02,3.0,3.0,3,12.0,New Property,1652.0,0,0,0,0,0,0,60,608.34
sohna road,flat,ashiana anmol,0.9,7059.0,1274.97,2.0,2.0,2,8.0,Relatively New,1275.0,0,0,0,0,0,0,0,637.485
sector 92,flat,sare crescent parc,0.9,4260.0,2112.68,4.0,5.0,3+,3.0,Relatively New,1805.0,0,0,1,0,0,0,0,528.17
sector 78,flat,umang monsoon breeze,1.1,5055.0,2176.06,3.0,3.0,3+,9.0,Old Property,2176.0,0,0,1,0,0,0,80,725.3533333333334
sector 48,house,vipul world,3.35,5583.0,6000.4,6.0,5.0,3+,3.0,Moderately Old,6000.0,0,0,0,0,0,0,53,1000.0666666666666
sector 76,flat,whiteland blissville,1.92,11500.0,1669.57,3.0,3.0,2,2.0,Under Construction,1672.0,0,0,0,0,0,0,61,556.5233333333333
sector 92,flat,sare green parc phase 3,1.1,6875.0,1600.0,4.0,3.0,2,12.0,New Property,1778.0,0,0,0,0,0,0,15,400.0
sector 84,flat,pivotal devaan,0.36,7588.0,474.43,2.0,2.0,1,9.0,Relatively New,531.0,0,0,0,1,0,1,80,237.215
sector 37d,house,signature global city,1.27,8089.0,1570.0,3.0,3.0,3.0,4.0,Under Construction,1570.0,0,1,0,0,0,0,89,523.3333333333334
sector 85,flat,ss,2.1,7467.0,2812.37,4.0,4.0,3,2.0,Relatively New,2600.0,0,0,0,0,0,0,49,703.0925
sector 85,flat,ss the leaf,1.07,6524.0,1640.1,2.0,2.0,3,21.0,Relatively New,1484.0,0,1,0,0,0,0,67,820.05
sector 60,flat,ireo skyon,2.82,12818.0,2200.03,3.0,3.0,3,2.0,Relatively New,2400.0,0,0,1,0,0,2,174,733.3433333333334
sector 70a,house,bptp astaire gardens,1.18,8137.0,1450.2,3.0,3.0,3+,2.0,Relatively New,1611.0,1,0,0,0,0,2,153,483.4
sector 110,flat,indiabulls enigma,3.3,9850.0,3350.25,4.0,5.0,3,7.0,Relatively New,3032.0,0,0,1,0,0,0,101,837.5625
sector 54,flat,new sathi apartments,1.59,7066.0,2250.21,3.0,3.0,3+,3.0,Moderately Old,2250.0,0,0,0,0,1,2,127,750.07
sector 3,house,independent,1.0,6667.0,1499.9,1.0,1.0,0,1.0,Old Property,1500.0,0,0,0,0,0,0,0,1499.9
sector 22,flat,ambience creacions,4.8,19200.0,2500.0,4.0,6.0,3+,10.0,New Property,2778.0,0,1,1,0,0,1,49,625.0
sector 33,flat,eldeco accolade,1.2,8043.0,1491.98,2.0,2.0,2,0.0,Under Construction,1492.0,0,0,0,0,0,0,56,745.99
sector 79,flat,supertech araville,1.45,7455.0,1945.0,3.0,3.0,3,3.0,Relatively New,2161.0,0,0,0,0,0,0,0,648.3333333333334
golf course,flat,ansals api esencia,2.4,8000.0,3000.0,4.0,4.0,3+,1.0,New Property,2500.0,0,0,0,0,0,2,91,750.0
sushant lok,house,independent,1.64,10123.0,1620.1,3.0,3.0,2.0,4.0,New Property,1620.0,0,0,1,0,1,2,54,540.0333333333333
sector 67a,flat,ireo the corridors,1.3,10031.0,1295.98,2.0,2.0,2,-1.0,New Property,1296.0,0,0,0,0,0,0,55,647.99
sector 113,flat,tata gurgaon gateway,3.21,11825.0,2714.59,3.0,3.0,3,9.0,New Property,2281.0,0,0,0,0,0,0,49,904.8633333333332
sector 81,flat,dlf the ultima,2.3,14603.0,1575.02,3.0,4.0,3+,27.0,Relatively New,1825.0,0,0,1,0,0,2,119,525.0066666666667
sector 107,flat,m3m woodshire,1.7,6141.0,2768.28,4.0,5.0,3+,9.0,Relatively New,2505.0,0,0,1,0,0,0,79,692.07
sector 56,flat,kanchanjanga tower,1.45,7631.0,1900.14,3.0,3.0,3+,2.0,Moderately Old,1719.0,0,0,0,0,0,2,126,633.38
sector 84,flat,ss the coralwood,1.1,5820.0,1890.03,3.0,3.0,3+,12.0,Moderately Old,1710.0,0,0,0,0,0,2,104,630.01
sector 36a,flat,krisumi waterfall residences,2.3,15551.0,1479.0,2.0,2.0,2,23.0,Relatively New,1479.0,0,0,0,0,0,0,58,739.5
sector 99a,flat,pareena coban residences,1.3,6510.0,1996.93,3.0,3.0,0,16.0,Relatively New,1997.0,0,0,0,0,0,0,0,665.6433333333333
sector 61,flat,pioneer park,3.6,12627.0,2851.03,4.0,4.0,3,3.0,Moderately Old,2580.0,0,0,1,0,0,2,121,712.7575
sector 48,flat,bestech park view city,2.65,10323.0,2567.08,4.0,4.0,3+,11.0,Moderately Old,2134.0,0,0,1,0,1,2,174,641.77
sector 102,flat,emaar gurgaon greens,1.42,8606.0,1650.01,3.0,3.0,3,7.0,Relatively New,1314.0,0,0,1,0,0,0,128,550.0033333333333
sector 2,house,ansals palam vihar,2.75,17662.0,1557.0,3.0,3.0,3.0,2.0,Moderately Old,1557.0,0,1,0,0,1,2,15,519.0
sector 37d,flat,signature global city,1.1,8800.0,1250.0,3.0,3.0,3,1.0,Under Construction,1389.0,0,0,0,0,0,0,16,416.6666666666667
sector 85,flat,ss the leaf,1.98,8256.0,2398.26,3.0,4.0,3,12.0,Relatively New,2399.0,0,0,0,1,0,0,174,799.4200000000001
sector 99a,flat,pareena coban residences,1.02,8793.0,1160.01,2.0,2.0,3,3.0,Relatively New,1430.0,0,0,0,0,1,0,174,580.005
sohna road,flat,hcbs sports ville,0.2,2666.0,750.19,2.0,2.0,1,4.0,New Property,743.0,0,0,0,0,0,0,15,375.095
sector 104,flat,puri emerald bay,2.6,15160.0,1715.04,3.0,4.0,3+,5.0,Relatively New,2061.0,0,0,1,0,1,0,81,571.68
sector 109,flat,chintels paradiso,2.0,7604.0,2630.19,4.0,4.0,2,11.0,Relatively New,2380.0,0,1,1,0,0,0,64,657.5475
sector 67,house,independent,1.5,8642.0,1735.7,5.0,3.0,2.0,2.0,New Property,200.0,0,0,0,0,0,0,0,347.14
sector 104,flat,ats triumph,1.75,7641.0,2290.28,3.0,4.0,3+,12.0,Relatively New,2036.0,1,1,1,0,1,2,21,763.4266666666667
sector 65,flat,m3m heights,1.95,16000.0,1218.75,2.0,2.0,3,16.0,Under Construction,1141.0,0,0,0,0,0,0,44,609.375
sector 104,flat,godrej summit,1.35,5014.0,2692.46,4.0,5.0,3+,0.0,Relatively New,2991.0,0,1,1,1,1,0,88,673.115
sector 106,flat,paras dews,0.87,9255.0,940.03,2.0,2.0,3+,1.0,New Property,1120.0,0,0,0,0,0,0,174,470.015
sector 36,flat,the serenas,0.42,7910.0,530.97,2.0,2.0,1,3.0,New Property,590.0,0,0,0,0,0,0,0,265.485
dlf phase,house,nul,9.5,33404.0,2844.0,9.0,9.0,3+,3.0,Old Property,2844.0,1,0,0,0,0,0,81,316.0
sector 31,house,independent,4.25,26235.0,1620.0,5.0,5.0,3+,3.0,Moderately Old,1620.0,0,1,0,1,0,2,56,324.0
sector 2,flat,bestech park view residency,0.56,8632.0,648.75,1.0,1.0,2,6.0,Moderately Old,723.0,0,0,0,0,0,0,77,648.75
sector 86,flat,ansal heights 86,0.78,5735.0,1360.07,2.0,2.0,1,8.0,New Property,1231.0,0,0,0,0,0,0,67,680.035
mehrauli gurgaon,flat,essel towers,2.2,12500.0,1760.0,3.0,4.0,3+,3.0,Old Property,1956.0,0,0,0,0,0,0,0,586.6666666666666
sector 12,house,independent,1.35,12222.0,1104.6,2.0,5.0,1.0,3.0,Old Property,2052.0,0,0,0,0,0,0,31,552.3
sector 39,house,independent,5.15,14072.0,3659.7,5.0,5.0,0,1.0,Relatively New,3659.7,0,0,0,0,0,0,0,731.9399999999999
sector 1,flat,hsiidc sidco shivalik apartments,0.6,4000.0,1500.0,3.0,2.0,2,5.0,Moderately Old,1277.0,0,0,0,0,0,0,80,500.0
sector 83,flat,vatika gurgaon,1.4,6628.0,2112.25,3.0,3.0,2,7.0,Relatively New,1570.0,0,0,0,0,0,2,74,704.0833333333334
sector 22,flat,ambience creacions,4.63,14983.0,3090.17,3.0,5.0,3+,5.0,New Property,2796.0,1,0,1,0,0,0,120,1030.0566666666666
sector 110,flat,mahindra aura,1.8,8814.0,2042.21,3.0,3.0,3+,7.0,Relatively New,1850.0,0,0,1,0,0,2,136,680.7366666666667
sector 67,flat,m3m merlin,3.32,14079.0,2358.12,3.0,4.0,3,8.0,New Property,2016.0,0,0,1,0,0,2,174,786.04
sector 113,flat,la vida by tata housing,2.7,16363.0,1650.06,3.0,4.0,3+,4.0,Relatively New,2217.0,0,0,1,0,0,2,49,550.02
sector 113,flat,la vida by tata housing,2.35,13352.0,1760.04,3.0,4.0,3,3.0,Relatively New,1930.0,0,0,1,0,0,0,174,586.68
sector 37d,flat,bptp terra,1.98,9036.0,2191.24,3.0,3.0,3+,12.0,New Property,1983.0,0,0,0,0,1,2,49,730.4133333333333
sector 70a,flat,bptp pedestal,1.9,9500.0,2000.0,4.0,3.0,3,2.0,New Property,2111.0,0,0,0,1,0,0,133,500.0
sector 107,flat,signature global solera 2,0.5,8928.0,560.04,2.0,2.0,2,13.0,New Property,622.0,0,0,0,0,0,0,8,280.02
sector 33,flat,godrej nature plus,1.9,9849.0,1929.13,3.0,3.0,3+,14.0,New Property,2143.0,0,0,1,0,0,0,96,643.0433333333334
dlf phase,house,independent,8.9,32963.0,2700.0,4.0,4.0,3+,2.0,Old Property,2700.0,0,1,1,1,1,0,82,675.0
sector 99a,flat,pareena coban residences,1.32,6609.0,1997.28,3.0,5.0,3,11.0,New Property,1737.0,0,0,1,0,0,0,88,665.76
sector 102,flat,bptp amstoria,1.9,8444.0,2250.12,3.0,3.0,3+,1.0,Relatively New,2500.0,0,0,1,0,0,0,174,750.04
sector 69,flat,tulip violet,1.68,8348.0,2012.46,4.0,4.0,2,1.0,Relatively New,1819.0,0,1,0,0,0,0,102,503.115
sector 102,flat,rof aalayas,0.45,6000.0,750.0,1.0,1.0,2,6.0,Relatively New,750.0,0,0,0,0,0,0,0,750.0
sohna road,flat,signature global park,0.91,6289.0,1446.97,3.0,3.0,3,1.0,Relatively New,1599.0,0,1,0,0,0,0,165,482.3233333333333
sector 50,house,unitech deerwood chase,8.45,26153.0,3231.0,3.0,3.0,2.0,2.0,Old Property,3231.0,0,0,1,0,1,2,102,1077.0
sector 37c,flat,corona optus,1.4,7035.0,1990.05,3.0,3.0,3+,4.0,Relatively New,1890.0,0,0,1,0,0,0,149,663.35
sector 109,flat,ats tourmaline,1.4,8000.0,1750.0,3.0,3.0,3+,12.0,Relatively New,1584.0,1,0,0,0,0,0,65,583.3333333333334
sector 92,flat,raheja navodaya,0.62,4807.0,1289.79,2.0,2.0,2,5.0,New Property,1498.0,0,0,0,0,0,0,0,644.895
sector 74,flat,m3m skywalk,1.57,11000.0,1427.27,2.0,2.0,3+,10.0,Relatively New,1300.0,1,0,0,0,0,0,137,713.635
sector 90,flat,shree vardhman flora,0.65,4961.0,1310.22,2.0,2.0,3,11.0,Relatively New,1225.0,0,0,0,0,1,2,49,655.11
sector 71,flat,signature andour heights,0.37,8222.0,450.01,1.0,1.0,2,2.0,Relatively New,450.0,0,0,0,0,0,0,65,450.01
sector 4,flat,huda ashok vihar phase,0.43,6615.0,650.04,2.0,2.0,1,2.0,Relatively New,722.0,0,0,0,0,0,0,7,325.02
sector 73,flat,today callidora,0.9,5548.0,1622.21,3.0,3.0,3,3.0,Under Construction,1622.0,0,0,1,0,0,0,63,540.7366666666667
sector 85,flat,ss the leaf,1.85,6578.0,2812.4,4.0,5.0,3+,1.0,Relatively New,2545.0,0,0,0,0,0,0,95,703.1
sector 51,flat,orchid island,1.7,10651.0,1596.09,3.0,4.0,3,2.0,Moderately Old,1773.0,0,1,0,1,0,0,90,532.03
sector 47,flat,irwo westend towers,0.65,12059.0,539.02,1.0,1.0,2,3.0,Old Property,599.0,0,0,0,0,0,0,56,539.02
new palam,flat,my home,0.28,3166.0,884.4,2.0,1.0,1,2.0,Relatively New,1000.0,1,0,0,0,0,0,15,442.2
sector 65,house,emaar emerald hills,12.5,34722.0,3600.0,4.0,4.0,3+,2.0,Relatively New,3600.0,0,0,1,0,1,0,56,900.0
sector 2,flat,bestech park view residency,0.95,6709.0,1416.01,2.0,2.0,3,10.0,Old Property,1573.0,0,0,0,0,0,2,88,708.005
sector 108,flat,sobha city,3.95,16859.0,2342.96,4.0,5.0,3,25.0,Relatively New,2343.0,0,0,0,0,0,0,59,585.74
sector 69,flat,tulip violet,1.55,9639.0,1608.05,3.0,3.0,2,2.0,Relatively New,1455.0,0,1,0,0,0,2,86,536.0166666666667
sector 60,flat,ireo skyon,3.8,13571.0,2800.09,4.0,5.0,3,15.0,Moderately Old,2791.0,0,0,1,0,0,2,145,700.0225
sector 67,house,independent,3.0,11904.0,2520.2,4.0,4.0,0,3.0,Moderately Old,2800.0,0,0,0,0,0,0,0,630.05
sector 109,house,international city by sobha phase 1,6.15,27333.0,2250.0,5.0,5.0,3+,3.0,Relatively New,2250.0,0,1,1,1,0,2,130,450.0
sector 2,flat,palam vihar extension west zone rwa,0.2,4000.0,500.0,1.0,1.0,1,1.0,Moderately Old,556.0,1,0,0,0,0,0,0,500.0
sector 76,house,suncity avenue 76,0.75,10067.0,745.0,2.0,2.0,2.0,11.0,New Property,745.0,0,0,0,0,0,0,40,372.5
sector 81,flat,dlf the ultima,2.45,11491.0,2132.1,3.0,3.0,2,9.0,Relatively New,1800.0,0,0,1,0,0,2,174,710.6999999999999
sector 109,flat,raheja atharva,2.2,9490.0,2318.23,3.0,3.0,2,7.0,Moderately Old,2576.0,0,0,1,0,0,2,111,772.7433333333333
sector 86,flat,microtek greenburg,1.23,8310.0,1480.14,2.0,2.0,3,13.0,Relatively New,1339.0,0,0,0,0,1,0,6,740.07
sector 82,flat,mapsko casa bella,1.75,6903.0,2535.13,4.0,5.0,3+,1.0,Relatively New,2535.0,0,0,0,0,0,0,54,633.7825
sector 56,house,huda plots,2.95,20359.0,1449.0,2.0,2.0,2.0,1.0,Moderately Old,1449.0,0,0,0,0,0,0,31,724.5
sohna road,flat,gls arawali homes,0.35,6076.0,576.04,2.0,2.0,2,12.0,New Property,521.0,0,0,0,0,0,0,42,288.02
sector 102,flat,shapoorji pallonji joyville gurugram,1.24,10205.0,1215.09,2.0,2.0,2,10.0,Relatively New,1100.0,0,0,0,0,0,0,141,607.545
sector 88b,flat,vatika xpressions,0.92,7360.0,1250.0,2.0,2.0,2,3.0,Relatively New,1300.0,0,1,0,0,0,0,174,625.0
sector 49,house,eros rosewood villas,2.8,15555.0,1800.1,3.0,3.0,3.0,2.0,Moderately Old,1800.1,0,1,0,0,0,0,68,600.0333333333333
sector 92,flat,raheja navodaya,0.85,4271.0,1990.17,3.0,3.0,3,2.0,Relatively New,1801.0,0,0,0,0,0,0,100,663.39
