sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score
sector 69,flat,tulip violet,1.37,8907.0,1538.12,Super Built up area 1538(142.88 sq.m.),3.0,3.0,1,12.0,North-East,Relatively New,1538.0,,,0,0,0,0,0,0,116
dlf phase,house,independent,8.49,47167.0,1800.0,Plot area 200(167.23 sq.m.),12.0,12.0,3+,4.0,North,Relatively New,,1800.0,,0,1,1,0,0,2,42
sector 89,flat,smart world gems,1.2,8432.0,1423.15,Built Up area: 1423 (132.2 sq.m.),3.0,3.0,2,3.0,East,New Property,,1423.0,,1,0,0,0,1,0,37
sector 107,flat,m3m woodshire,0.75,5490.0,1366.12,Super Built up area 1366(126.91 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2.0,2.0,3+,14.0,West,Relatively New,1366.0,,1050.0,0,1,0,0,0,0,174
sector 85,flat,godrej air,1.05,10603.0,990.29,Built Up area: 97 Carpet area: 92 sq.m.,2.0,2.0,1,15.0,East,Under Construction,,97.0,92.0,0,0,0,0,0,0,45
sector 104,flat,puri emerald bay,1.5,9678.0,1549.91,Super Built up area 1550(144 sq.m.),2.0,2.0,2,7.0,,Under Construction,1550.0,,,1,0,0,0,0,0,43
sector 37d,flat,bptp terra,1.5,8255.0,1817.08,Super Built up area 1811(168.25 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3.0,3.0,3,12.0,South-West,Relatively New,1811.0,,1560.0,1,0,0,0,0,0,49
sector 39,flat,hector trimurti heights,1.5,6382.0,2350.36,Carpet area: 2350 (218.32 sq.m.),4.0,3.0,3,10.0,South-East,Old Property,,,2350.0,0,0,1,0,0,1,49
sector 38,house,sector 38 rwa,1.4,23932.0,585.0,Plot area 65(54.35 sq.m.)Built Up area: 62 sq.yards (51.84 sq.m.)Carpet area: 60 sq.yards (50.17 sq.m.),8.0,8.0,3.0,4.0,East,Moderately Old,,62.0,60.0,1,0,0,0,0,2,40
sushant lok,house,independent,4.7,21759.0,2160.0,Plot area 240(200.67 sq.m.),3.0,3.0,2.0,2.0,North,Old Property,,2160.0,,1,0,1,0,0,0,43
sector 69,flat,tulip violet,1.43,8886.0,1609.27,Super Built up area 1608(149.39 sq.m.),3.0,3.0,2,1.0,North-West,Relatively New,1608.0,,,0,1,0,0,0,0,86
dlf phase,flat,dlf belvedere towers,3.7,17619.0,2100.01,Carpet area: 2100 (195.1 sq.m.),4.0,4.0,3,18.0,North-West,Old Property,,,2100.0,0,0,1,0,0,2,26
sector 95,flat,rof ananda,0.32,5827.0,549.17,Carpet area: 549.16 (51.02 sq.m.),2.0,2.0,1,9.0,North,Relatively New,,,549.0,0,1,0,0,0,2,71
sector 54,flat,dlf park place,4.86,25920.0,1875.0,Super Built up area 1875(174.19 sq.m.),3.0,4.0,3+,7.0,West,Relatively New,1875.0,,,0,0,1,0,0,2,49
sector 17,house,iffco nagar and 17b rwa,3.5,24305.0,1440.0,Plot area 1440(133.78 sq.m.),6.0,5.0,3.0,3.0,East,Old Property,,1440.0,,0,0,0,0,0,0,44
sector 79,flat,bestech altura,1.72,8400.0,2047.62,Built Up area: 2050 (190.45 sq.m.),3.0,4.0,3,9.0,East,New Property,,2050.0,,0,0,0,0,0,0,49
sector 14,house,independent,6.46,18889.0,3420.0,Plot area 380(317.73 sq.m.)Built Up area: 380 sq.yards (317.73 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5.0,5.0,2.0,3.0,East,Moderately Old,,380.0,300.0,0,1,1,0,1,2,27
sector 67a,flat,ireo the corridors,2.0,11580.0,1727.12,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3.0,3.0,2,6.0,,Under Construction,1727.0,,1017.0,1,0,0,0,0,0,15
sector 85,flat,ss the leaf,1.05,6402.0,1640.11,Super Built up area 1640(152.36 sq.m.),2.0,2.0,3,6.0,North-East,Relatively New,1640.0,,,1,0,0,0,0,0,49
sector 61,flat,smart world orchard,2.2,13496.0,1630.11,Carpet area: 1630 (151.43 sq.m.),3.0,3.0,2,3.0,,Under Construction,,,1630.0,0,0,0,0,0,0,16
sector 102,flat,adani m2k oyster grande,2.35,8468.0,2775.15,Super Built up area 2598(241.36 sq.m.),3.0,3.0,3,14.0,East,Relatively New,2598.0,,,0,0,1,0,1,2,165
sector 88a,flat,godrej icon,1.75,1384.0,12644.51,Carpet area: 1175.11,3.0,3.0,3+,6.0,,New Property,,,1175.0,0,0,0,0,0,0,55
sector 69,flat,tulip violet,1.2,8888.0,1350.14,Super Built up area 1350(125.42 sq.m.),2.0,3.0,1,0.0,North-West,Relatively New,1350.0,,,0,0,0,0,0,0,150
sector 60,flat,ireo skyon,3.75,13392.0,2800.18,Super Built up area 2800(260.13 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4.0,4.0,3,12.0,North,Relatively New,2800.0,2650.0,2350.0,0,0,1,0,0,2,49
dlf phase,house,luxury dlf city floors,8.25,45833.0,1800.0,Plot area 200(167.23 sq.m.),12.0,12.0,3+,4.0,North,New Property,,1800.0,,0,0,1,0,0,2,105
sector 62,flat,emaar digihomes,2.45,16000.0,1531.25,Built Up area: 1200 (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,2,7.0,North-East,New Property,,1200.0,1000.0,0,0,0,0,1,1,174
sector 102,flat,shapoorji pallonji joyville gurugram,1.41,10307.0,1368.0,Super Built up area 1368(127.09 sq.m.),2.0,2.0,3,0.0,North-East,Relatively New,1368.0,,,1,0,0,0,0,0,49
sector 90,flat,shree vardhman flora,0.85,4404.0,1930.06,Super Built up area 1930(179.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,4.0,3,3.0,South-East,Relatively New,1930.0,,1450.0,0,0,1,1,0,0,110
sector 110,flat,mahindra aura,1.4,9655.0,1450.03,Super Built up area 1615(150.04 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,3.0,3,10.0,North,Relatively New,1615.0,1550.0,1450.0,0,0,0,0,0,2,142
sector 50,flat,unitech fresco,1.88,10479.0,1794.06,Super Built up area 1794(166.67 sq.m.)Built Up area: 1790 sq.ft. (166.3 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,3.0,3+,14.0,North,Moderately Old,1794.0,1790.0,1450.0,1,0,0,0,0,2,174
sector 106,flat,paras dews,1.1,9734.0,1130.06,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3.0,4.0,3+,8.0,North-West,Relatively New,1760.0,1186.0,1130.0,0,0,1,0,0,2,174
sector 33,house,unitech uniworld resorts,9.5,173992.0,546.0,Plot area 546(50.73 sq.m.),6.0,6.0,3+,3.0,North-East,Moderately Old,,546.0,,0,0,0,0,0,2,40
sector 81,flat,signature global city 81,0.89,8279.0,1075.01,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,3.0,North,Under Construction,,,1075.0,1,0,0,0,0,0,20
sector 2,house,independent,2.55,16378.0,1557.0,Plot area 173(144.65 sq.m.),3.0,3.0,2.0,2.0,South,Old Property,,1557.0,,0,0,0,0,0,0,8
sector 113,flat,la vida by tata housing,1.75,10489.0,1668.41,Super Built up area 1573(146.14 sq.m.),2.0,2.0,3,10.0,East,Relatively New,1573.0,,,0,0,0,0,1,0,93
sector 36a,flat,krisumi waterfall residences,2.2,14874.0,1479.09,Super Built up area 1479(137.4 sq.m.),2.0,2.0,2,23.0,North,New Property,1479.0,,,0,0,0,0,0,0,15
sector 109,flat,ats kocoon,2.2,10023.0,2194.95,Super Built up area 2095(194.63 sq.m.)Built Up area: 1860 sq.ft. (172.8 sq.m.),3.0,4.0,3,8.0,North-East,Relatively New,2095.0,1860.0,,0,0,1,0,0,0,156
sector 37d,flat,ramprastha the edge towers,1.1,5528.0,1989.87,Built Up area: 1990 (184.88 sq.m.),3.0,3.0,3,9.0,,Undefined,,1990.0,,0,0,0,0,0,0,63
sector 85,flat,ss the leaf,1.58,7714.0,2048.22,Super Built up area 2408(223.71 sq.m.)Carpet area: 2048 sq.ft. (190.27 sq.m.),3.0,4.0,3,8.0,East,Relatively New,2408.0,,2048.0,0,0,1,0,0,0,159
sector 37c,flat,corona optus,1.22,6912.0,1765.05,Super Built up area 1765(163.97 sq.m.)Built Up area: 1665 sq.ft. (154.68 sq.m.)Carpet area: 1565 sq.ft. (145.39 sq.m.),3.0,4.0,3,5.0,South-East,Relatively New,1765.0,1665.0,1565.0,0,0,0,0,0,0,149
sohna road,flat,eldeco accolade,1.3,7424.0,1751.08,Super Built up area 1751(162.67 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3.0,3.0,3+,10.0,East,Relatively New,1751.0,,1290.0,0,0,0,0,0,0,49
sector 104,flat,godrej summit,1.3,9027.0,1440.12,Super Built up area 1440(133.78 sq.m.),3.0,2.0,3+,16.0,,Relatively New,1440.0,,,0,1,0,1,1,2,0
sector 81,flat,dlf the ultima,2.26,10761.0,2100.18,Super Built up area 2100(195.1 sq.m.),3.0,4.0,3+,17.0,West,New Property,2100.0,,,0,0,1,0,0,1,174
sector 4,house,independent,0.4,8889.0,450.0,Plot area 50(41.81 sq.m.),1.0,1.0,0,1.0,,Moderately Old,,450.0,,0,0,0,0,0,0,0
sector 37d,flat,signature global city,0.8,8421.0,950.01,Super Built up area 950(88.26 sq.m.),2.0,2.0,2,2.0,,Under Construction,950.0,,,0,0,0,0,0,0,42
sector 50,house,independent,7.0,32407.0,2160.0,Built Up area: 240 (200.67 sq.m.),3.0,2.0,0,1.0,,Undefined,,240.0,,0,0,0,0,0,0,0
sector 54,flat,sunischit apartments,1.69,7954.0,2124.72,Super Built up area 2200(204.39 sq.m.),3.0,3.0,3+,5.0,North,Old Property,2200.0,,,0,0,1,0,0,2,65
sector 2,house,independent,4.99,18889.0,2641.7,Plot area 270(225.75 sq.m.),4.0,4.0,3+,3.0,North,Moderately Old,,2430.0,,0,1,1,1,0,0,43
sector 69,flat,tulip violet,1.65,8872.0,1859.78,Built Up area: 1578 (146.6 sq.m.),3.0,3.0,2,1.0,,Relatively New,,1578.0,,0,0,0,0,0,2,69
sector 92,flat,sare green parc,0.85,6741.0,1260.94,Built Up area: 1261 (117.15 sq.m.),3.0,2.0,2,14.0,,Undefined,,1261.0,,0,0,0,0,0,0,0
sector 67,flat,m3m merlin,3.4,14418.0,2358.16,Super Built up area 2358(219.07 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3.0,4.0,3,15.0,South,Relatively New,2358.0,,1900.0,0,0,1,0,0,2,110
sector 95,flat,rof ananda,0.21,61.0,34426.23,Carpet area: 34401 (3195.96 sq.m.),1.0,1.0,1,13.0,North,Relatively New,,,34401.0,0,0,0,0,0,0,68
sector 6,house,independent,0.5,8333.0,600.0,Plot area 600(55.74 sq.m.),3.0,3.0,2.0,2.0,East,Moderately Old,,600.0,,0,1,0,0,0,0,0
sector 54,house,suncity township,25.0,31111.0,8035.7,Plot area 1000(836.13 sq.m.),4.0,4.0,3+,2.0,North,Moderately Old,,9000.0,,0,1,1,1,1,0,0
sector 104,flat,puri emerald bay,1.8,8823.0,2040.12,Super Built up area 1700(157.94 sq.m.),2.0,3.0,3,23.0,,New Property,1700.0,,,0,0,1,0,0,0,36
gwal pahari,flat,suncity vatsal valley,1.38,9650.0,1430.05,Super Built up area 1430(132.85 sq.m.),3.0,3.0,2,1.0,East,Relatively New,1430.0,,,0,0,0,0,0,2,151
sector 74,flat,m3m skywalk,1.4,9831.0,1424.07,Super Built up area 1424(132.29 sq.m.),2.0,2.0,2,17.0,North-East,New Property,1424.0,,,0,0,0,0,0,2,167
sector 67,house,ansal api esencia,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4.0,5.0,3+,2.0,East,Relatively New,,2259.0,,0,1,0,1,1,2,103
sector 2,flat,hcbs sports ville,0.35,4375.0,800.0,Built Up area: 800 (74.32 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),2.0,2.0,2,8.0,East,Relatively New,,800.0,600.0,0,0,0,0,0,0,37
sector 49,flat,vatika city,2.1,10418.0,2015.74,Super Built up area 2015.58(187.25 sq.m.)Built Up area: 1604.25 sq.ft. (149.04 sq.m.),3.0,3.0,3,9.0,South,Moderately Old,2015.0,1604.0,,0,1,0,0,0,2,132
sector 3,house,bhim garh kheri,0.75,6410.0,1170.0,Plot area 130(108.7 sq.m.),4.0,2.0,2.0,2.0,West,Old Property,,1170.0,,0,0,0,0,0,0,16
sector 93,flat,signature global orchard avenue,0.36,6715.0,536.11,Carpet area: 543.53 (50.5 sq.m.),2.0,2.0,2,6.0,North,Relatively New,,,543.0,0,0,0,0,0,0,16
sector 67a,house,4s aradhya homes,1.83,6778.0,2699.9,Plot area 300(250.84 sq.m.),4.0,4.0,2.0,4.0,East,New Property,,2700.0,,0,1,0,0,0,2,145
sector 81,flat,vipul lavanya,0.65,5265.0,1234.57,Super Built up area 1225(113.81 sq.m.)Carpet area: 776 sq.ft. (72.09 sq.m.),2.0,2.0,2,14.0,,Moderately Old,1225.0,,776.0,0,0,0,0,0,0,96
sector 107,flat,signature global solera,0.28,5828.0,480.44,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2,11.0,South,Relatively New,,,489.0,0,0,0,0,0,0,45
sector 79,flat,mapsko mount ville,1.25,7716.0,1620.01,Super Built up area 1620(150.5 sq.m.)Carpet area: 862.18 sq.ft. (80.1 sq.m.),3.0,3.0,2,1.0,South-West,Relatively New,1620.0,,862.0,0,1,0,0,1,2,166
sector 76,flat,whiteland blissville,1.92,11794.0,1627.95,Built Up area: 1628 (151.25 sq.m.),3.0,3.0,2,3.0,,Undefined,,1628.0,,0,0,0,0,0,0,61
sector 36,flat,signature global infinity mall,0.41,6269.0,654.01,Built Up area: 654 (60.76 sq.m.),2.0,2.0,3,3.0,,Undefined,,654.0,,0,0,0,0,0,0,0
sector 13,house,ganpati heights apartment,1.25,151.0,82781.5,Plot area 115(7692.86 sq.m.),10.0,6.0,2.0,3.0,South-East,Old Property,,1035.0,,1,0,0,0,0,0,7
sector 88a,flat,the center court,2.1,12173.0,1725.13,Super Built up area 2175(202.06 sq.m.)Built Up area: 1745 sq.ft. (162.12 sq.m.)Carpet area: 1725 sq.ft. (160.26 sq.m.),4.0,4.0,3,0.0,East,New Property,2175.0,1745.0,1725.0,0,0,1,0,1,0,142
sector 113,flat,tata gurgaon gateway,1.75,10443.0,1675.76,Super Built up area 1580(146.79 sq.m.),2.0,2.0,2,10.0,North,Relatively New,1580.0,,,0,0,0,0,1,0,104
sector 90,flat,green court,0.4,6389.0,626.08,Super Built up area 626(58.16 sq.m.)Carpet area: 526 sq.ft. (48.87 sq.m.),2.0,2.0,1,8.0,South,New Property,626.0,,526.0,0,0,0,0,0,0,20
sector 86,flat,microtek greenburg,1.3,15294.0,850.01,Carpet area: 850 (78.97 sq.m.),2.0,3.0,3,5.0,North-East,Relatively New,,,850.0,0,0,0,0,1,2,45
sector 103,flat,ansal housing highland park,0.8,5878.0,1361.01,Built Up area: 1361 (126.44 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2.0,2.0,2,9.0,South-East,Undefined,,1361.0,1300.0,0,0,0,0,0,0,0
sector 67a,flat,pyramid urban,0.7,11844.0,591.02,Carpet area: 591 (54.91 sq.m.),2.0,2.0,1,14.0,North,New Property,,,591.0,0,0,0,0,0,0,44
sector 69,flat,tulip violet,1.4,8928.0,1568.1,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1,12.0,North,Relatively New,1568.0,,,0,0,0,0,0,0,157
sector 95,flat,signature the roselia,0.45,7908.0,569.04,Carpet area: 569 (52.86 sq.m.),2.0,2.0,2,2.0,East,New Property,,,569.0,0,0,0,0,0,2,31
sushant lok,house,sushant lok 1 builder floors,2.45,7756.0,3158.8,Plot area 60(50.17 sq.m.)Built Up area: 540 sq.yards (451.51 sq.m.)Carpet area: 351 sq.yards (293.48 sq.m.),4.0,4.0,3+,3.0,West,Moderately Old,,540.0,351.0,1,1,1,0,1,1,123
sohna road,flat,signature global park,0.79,7308.0,1081.01,Super Built up area 1081(100.43 sq.m.),3.0,2.0,3+,4.0,,Under Construction,1081.0,,,0,0,0,0,0,0,109
sector 37d,flat,signature global the millennia,0.6,9230.0,650.05,Super Built up area 650(60.39 sq.m.)Carpet area: 596.12 sq.ft. (55.38 sq.m.),2.0,2.0,3,7.0,,New Property,650.0,,596.0,0,0,0,0,0,0,35
sohna road road,flat,micasa sec 68,1.5,12244.0,1225.09,Carpet area: 1225 (113.81 sq.m.),2.0,2.0,3,11.0,,New Property,,,1225.0,0,0,0,0,0,0,44
sector 62,flat,emaar digihomes,2.1,14254.0,1473.27,Super Built up area 1508.26(140.12 sq.m.),2.0,2.0,2,30.0,North,New Property,1508.0,,,0,0,1,0,0,0,52
dlf phase,flat,dlf beverly park,8.0,15384.0,5200.21,Carpet area: 5200 (483.1 sq.m.),5.0,5.0,3+,2.0,North-East,Old Property,,,5200.0,1,1,1,0,1,1,26
sector 89,flat,smart world gems,1.1,9972.0,1103.09,Carpet area: 1103 (102.47 sq.m.),2.0,2.0,2,3.0,,New Property,,,1103.0,0,0,0,1,0,0,77
sector 108,flat,experion the heartsong,1.6,7988.0,2003.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3.0,4.0,3+,3.0,South,Relatively New,2003.0,1500.0,1140.0,0,0,1,0,0,2,60
sector 72,flat,spaze privy,1.9,9620.0,1975.05,Super Built up area 1975(183.48 sq.m.),3.0,3.0,3,10.0,,Moderately Old,1975.0,,,0,0,1,0,0,2,31
sector 95,flat,sidhartha ncr one phase,,,,Super Built up area 2354(218.69 sq.m.),4.0,4.0,3+,0.0,North,Under Construction,2354.0,,,0,0,0,0,0,0,97
dlf phase,flat,dlf ridgewood estate,2.0,14598.0,1370.05,Super Built up area 1370(127.28 sq.m.),3.0,3.0,1,12.0,North-East,Old Property,1370.0,,,0,0,0,0,0,2,96
sector 65,flat,m3m heights,2.25,13608.0,1653.44,Carpet area: 1433 (133.13 sq.m.),2.0,2.0,3,5.0,,Under Construction,,,1433.0,0,0,0,0,0,0,48
sector 49,flat,orchid petals,2.09,11578.0,1805.15,Super Built up area 1805(167.69 sq.m.),3.0,3.0,3,0.0,South,Relatively New,1805.0,,,0,0,0,0,0,0,49
sector 90,flat,shree vardhman flora,0.65,4814.0,1350.23,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3,6.0,West,Relatively New,1350.0,,,0,0,0,0,1,0,174
dlf phase,house,dlf city plots phase 3,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),13.0,13.0,3+,4.0,North,New Property,,1467.0,,0,1,0,0,0,1,91
sector 70,flat,shree vardhman victoria,1.63,8358.0,1950.23,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,5.0,3,12.0,East,Relatively New,1950.0,,1161.0,0,0,1,0,0,0,43
sector 102,flat,shapoorji pallonji joyville gurugram,1.2,14563.0,824.01,Super Built up area 1359(126.26 sq.m.)Carpet area: 824 sq.ft. (76.55 sq.m.),2.0,2.0,3,0.0,North-East,Relatively New,1359.0,,824.0,0,0,0,0,0,0,49
sector 45,house,independent,17.0,37777.0,4500.1,Plot area 4500(418.06 sq.m.),5.0,8.0,3+,3.0,North-East,Relatively New,,4500.0,,0,1,1,1,1,1,152
sector 90,flat,dlf regal gardens,1.17,6708.0,1744.19,Super Built up area 1744(162.02 sq.m.)Built Up area: 1630 sq.ft. (151.43 sq.m.)Carpet area: 1290 sq.ft. (119.84 sq.m.),3.0,3.0,3,15.0,North,Relatively New,1744.0,1630.0,1290.0,0,0,0,0,0,2,136
sector 109,flat,ats tourmaline,1.72,8000.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.),3.0,4.0,3+,7.0,South-West,Relatively New,2150.0,1797.0,,0,0,1,0,0,0,167
sector 49,flat,bestech park view city,2.9,12169.0,2383.1,Super Built up area 2383(221.39 sq.m.),4.0,4.0,3+,5.0,South-West,Moderately Old,2383.0,,,0,0,1,0,0,0,117
sector 91,flat,tarc maceo,1.4,7407.0,1890.1,Super Built up area 1890(175.59 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,3+,7.0,North,Relatively New,1890.0,1700.0,1600.0,0,0,0,0,0,0,76
sector 37d,flat,bptp terra,1.77,8078.0,2191.14,Super Built up area 2191(203.55 sq.m.)Carpet area: 1860 sq.ft. (172.8 sq.m.),4.0,3.0,3,15.0,North,Relatively New,2191.0,,1860.0,1,1,1,0,1,0,49
sector 85,flat,ss the leaf,1.18,10727.0,1100.03,Super Built up area 1741(161.74 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2.0,2.0,3,9.0,North-East,Relatively New,1741.0,1700.0,1100.0,0,0,0,0,1,2,150
mehrauli gurgaon,flat,unitech heritage city,4.26,13108.0,3249.92,Built Up area: 3250 (301.93 sq.m.),4.0,4.0,0,9.0,,Undefined,,3250.0,,0,0,0,0,0,0,0
dlf phase,flat,dlf trinity towers,3.8,15510.0,2450.03,Built Up area: 2450 (227.61 sq.m.),3.0,3.0,3+,1.0,South-East,Moderately Old,,2450.0,,0,1,1,0,0,2,68
sector 84,flat,pivotal devaan apartments,0.39,6500.0,600.0,Super Built up area 600(55.74 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2.0,0,5.0,North,Undefined,600.0,,500.0,0,0,0,0,0,0,0
sector 61,flat,smart world orchard,2.2,13500.0,1629.63,Carpet area: 1600 (148.64 sq.m.),3.0,3.0,2,1.0,North-East,Under Construction,,,1600.0,0,0,0,0,0,0,49
sohna road,flat,signature global park,0.9,6254.0,1439.08,Carpet area: 1439 (133.69 sq.m.),3.0,3.0,3,3.0,North-West,Relatively New,,,1439.0,0,1,0,0,0,0,96
sector 72,flat,spaze privy,1.9,9620.0,1975.05,Built Up area: 1975 (183.48 sq.m.),3.0,3.0,3,10.0,,Undefined,,1975.0,,0,0,0,0,0,0,0
sector 2,house,independent,5.0,15384.0,3250.1,Carpet area: 3250 (301.93 sq.m.),6.0,6.0,2.0,1.0,South,Undefined,,,3250.0,0,0,0,0,0,0,0
sector 107,flat,m3m woodshire,1.3,10815.0,1202.03,Super Built up area 1943(180.51 sq.m.)Carpet area: 1202 sq.ft. (111.67 sq.m.),3.0,3.0,3,7.0,,Relatively New,1943.0,,1202.0,0,1,0,0,0,0,89
sector 60,flat,ireo skyon,3.05,12788.0,2385.05,Super Built up area 2385(221.57 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,3.0,3,9.0,South-East,Relatively New,2385.0,2300.0,2200.0,0,0,1,0,0,2,165
dlf phase,house,independent,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5.0,5.0,3+,2.0,North,Old Property,,1800.0,,0,1,1,1,1,0,53
c block,house,independent,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4.0,4.0,2.0,2.0,North,Old Property,,1935.0,,0,1,1,1,0,0,34
sector 86,flat,dlf the skycourt,1.54,9221.0,1670.1,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1670 sq.ft. (155.15 sq.m.),3.0,3.0,3+,15.0,North-West,Relatively New,1929.0,1780.0,1670.0,0,0,1,0,0,0,174
sector 92,flat,sare crescent parc,0.65,4596.0,1414.27,Carpet area: 1414 (131.36 sq.m.),3.0,3.0,3,3.0,,Moderately Old,,,1414.0,0,0,0,0,0,0,44
sector 99,flat,assotech blith,1.15,6593.0,1744.27,Super Built up area 1365(126.81 sq.m.),2.0,2.0,2,2.0,,New Property,1365.0,,,1,0,0,0,0,2,72
sector 50,house,independent,10.45,38703.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4.0,5.0,2.0,3.0,North,Moderately Old,,4000.0,,0,1,1,0,1,2,142
sector 26,house,independent,4.6,12198.0,3771.1,Plot area 419(350.34 sq.m.),4.0,4.0,3+,,,Old Property,,3771.0,,0,0,0,0,0,0,28
sector 79,flat,godrej aria,1.3,8843.0,1470.09,Super Built up area 1470(136.57 sq.m.),2.0,2.0,2,7.0,,Relatively New,1470.0,,,0,0,0,0,1,2,116
sector 73,flat,today callidora,1.0,7692.0,1300.05,Carpet area: 1300 (120.77 sq.m.),2.0,2.0,2,13.0,,New Property,,,1300.0,0,0,0,0,0,0,0
sohna road,flat,kamal residence,0.4,7633.0,524.04,Carpet area: 524 (48.68 sq.m.),2.0,2.0,1,0.0,North-East,New Property,,,524.0,1,0,0,0,0,2,16
sector 103,flat,satya the hermitage,0.89,6137.0,1450.22,Super Built up area 1450(134.71 sq.m.)Carpet area: 1081 sq.ft. (100.43 sq.m.),2.0,3.0,3,1.0,,Relatively New,1450.0,,1081.0,0,0,1,0,0,0,75
sector 71,flat,signature andour heights,0.55,8607.0,639.01,Super Built up area 639(59.37 sq.m.)Built Up area: 600 sq.ft. (55.74 sq.m.)Carpet area: 541 sq.ft. (50.26 sq.m.),2.0,2.0,1,7.0,South-East,Relatively New,639.0,600.0,541.0,0,0,0,0,0,2,24
sector 67a,flat,pyramid urban,0.56,7928.0,706.36,Carpet area: 700 (65.03 sq.m.),2.0,2.0,2,0.0,North-East,Relatively New,,,700.0,1,0,0,0,0,0,49
sector 103,house,indiabulls centrum park,3.25,8125.0,4000.0,Plot area 4000(371.61 sq.m.),4.0,3.0,3+,20.0,,Under Construction,,4000.0,,0,0,0,0,0,0,51
sector 7,house,independent,0.45,5000.0,900.0,Carpet area: 900 (83.61 sq.m.),3.0,2.0,0,1.0,,Undefined,,,900.0,0,0,0,0,0,0,0
sector 108,flat,experion the heartsong,2.28,8204.0,2779.13,Super Built up area 2779(258.18 sq.m.),4.0,5.0,3+,8.0,North,Relatively New,2779.0,,,0,0,0,0,0,0,101
sector 2,flat,ansal api celebrity suites,0.6,8163.0,735.02,Super Built up area 735(68.28 sq.m.),1.0,1.0,1,5.0,North-East,Moderately Old,735.0,,,0,0,0,0,0,2,67
sector 85,flat,orris aster court premier,1.25,5896.0,2120.08,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3.0,4.0,2,6.0,East,Relatively New,2120.0,1616.0,,0,0,1,0,0,2,49
sector 83,flat,emaar palm gardens,1.8,9473.0,1900.14,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3.0,3.0,3,6.0,South,Relatively New,1900.0,,1240.0,0,0,1,0,0,2,97
sector 79,flat,godrej aria,1.95,8519.0,2289.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3.0,4.0,3+,10.0,,New Property,2289.0,,1121.0,0,0,1,0,0,0,32
sector 37c,flat,proxima tower,0.6,4602.0,1303.78,Super Built up area 1304(121.15 sq.m.),2.0,2.0,3,5.0,,Under Construction,1304.0,,,0,1,0,0,1,0,55
