sector,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,SuperBuiltUpArea,builtUpArea,carpetArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 80,flat,godrej frontier,1.1,5705.0,1928.13,Super Built up area 1928(179.12 sq.m.)Built Up area: 1580 sq.ft. (146.79 sq.m.)Carpet area: 1391 sq.ft. (129.23 sq.m.),3.0,3.0,3,8.0,North-West,Moderately Old,1928.0,1580.0,1391.0,0,0,1,0,0,0,111,642.71
sector 104,flat,ats triumph,2.0,8733.0,2290.16,Super Built up area 2290(212.75 sq.m.),3.0,4.0,3+,4.0,,Relatively New,2290.0,,,0,0,1,0,0,0,60,763.3866666666667
sector 54,flat,dlf park place,4.85,25866.0,1875.05,Super Built up area 1875(174.19 sq.m.),3.0,4.0,3+,25.0,South-East,Relatively New,1875.0,,,0,0,1,0,0,2,26,625.0166666666667
sohna road,flat,trisara our homes 3,0.4,6561.0,609.66,Carpet area: 602 (55.93 sq.m.),2.0,2.0,1,0.0,South,New Property,,,602.0,0,0,0,0,0,2,90,304.83
sector 53,flat,parsvnath exotica,4.8,14680.0,3269.75,Built Up area: 2895 (268.95 sq.m.),3.0,4.0,3+,12.0,North-West,New Property,,2895.0,,0,0,0,0,0,0,69,1089.9166666666667
dlf phase,house,independent,3.5,32407.0,1080.0,Plot area 120(100.34 sq.m.),2.0,4.0,3.0,3.0,North-West,Old Property,,1080.0,,0,0,0,0,0,0,15,540.0
sector 37c,flat,imperia the esfera,0.86,5449.0,1578.27,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2.0,3.0,3,9.0,South-East,Relatively New,1578.0,,1310.0,1,0,0,0,1,0,49,789.135
sector 50,house,unitech south city,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),3.0,9.0,3+,3.0,East,Relatively New,,2160.0,,1,1,1,0,1,1,128,720.0
sector 67,house,ireo victory valley,8.0,22222.0,3600.0,Plot area 400(334.45 sq.m.),6.0,7.0,3+,51.0,North-East,Moderately Old,,3600.0,,0,1,1,0,1,2,49,600.0
sector 50,house,independent,11.58,35741.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3.0,2.0,,Moderately Old,,3240.0,,0,0,1,0,0,0,20,648.0
sector 108,flat,experion the heartsong,1.2,6825.0,1758.24,Super Built up area 1758(163.32 sq.m.)Built Up area: 1275.53 sq.ft. (118.5 sq.m.)Carpet area: 974.68 sq.ft. (90.55 sq.m.),3.0,3.0,3+,10.0,South,Relatively New,1758.0,1275.0,974.0,0,0,0,0,1,0,93,586.08
sector 110,flat,indiabulls enigma,4.0,9851.0,4060.5,Built Up area: 3350 (311.23 sq.m.),4.0,4.0,3,17.0,,New Property,,3350.0,,0,0,0,0,0,0,59,1015.125
sector 69,flat,tulip violet,1.75,9459.0,1850.09,Carpet area: 1850 (171.87 sq.m.),3.0,4.0,2,0.0,East,Relatively New,,,1850.0,0,0,0,0,0,2,174,616.6966666666666
mehrauli gurgaon,flat,essel towers,2.75,12500.0,2200.0,Built Up area: 2200 (204.39 sq.m.),4.0,5.0,3+,8.0,East,Old Property,,2200.0,,0,0,1,0,1,1,128,550.0
sector 37d,flat,ramprastha the edge towers,0.75,5319.0,1410.04,Built Up area: 1410 (130.99 sq.m.),2.0,2.0,3,19.0,,Moderately Old,,1410.0,,0,0,0,0,0,0,63,705.02
sector 86,flat,dlf the skycourt,1.5,9740.0,1540.04,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3.0,3.0,3+,18.0,West,Relatively New,1929.0,1780.0,1540.0,0,0,0,0,1,0,174,513.3466666666667
sector 103,flat,signature global grand iva,0.23,6527.0,352.38,Carpet area: 360 (33.45 sq.m.),1.0,1.0,1,4.0,North-East,Relatively New,,,360.0,0,0,0,0,0,0,23,352.38
sector 83,flat,emaar palm gardens,1.4,8139.0,1720.11,Super Built up area 1720(159.79 sq.m.)Carpet area: 1095.3 sq.ft. (101.76 sq.m.),3.0,3.0,3,2.0,North-West,Relatively New,1720.0,,1095.0,0,1,1,1,1,2,174,573.37
sector 85,flat,ss the leaf,2.7,7754.0,3482.07,Super Built up area 3482(323.49 sq.m.),4.0,4.0,3+,23.0,,New Property,3482.0,,,0,0,0,0,0,0,21,870.5175
sector 56,flat,the lions cghs,2.0,8333.0,2400.1,Super Built up area 2400(222.97 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4.0,4.0,3,8.0,West,Relatively New,2400.0,,2100.0,1,0,0,0,0,2,49,600.025
sector 48,house,vipul tatvam villa,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3.0,4.0,2.0,2.0,South,Moderately Old,,2592.0,,0,1,1,1,1,2,115,864.0
sector 33,house,unitech uniworld resorts,8.0,17778.0,4499.9,Built Up area: 500 (418.06 sq.m.),6.0,5.0,3+,4.0,,Undefined,,500.0,,0,0,0,0,0,0,0,749.9833333333332
sector 22,flat,ambience creacions,3.99,12912.0,3090.15,Super Built up area 3090(287.07 sq.m.),3.0,5.0,3+,3.0,,New Property,3090.0,,,0,0,1,0,0,1,102,1030.05
sector 72,flat,tata primanti,4.0,16032.0,2495.01,Super Built up area 2905(269.88 sq.m.)Carpet area: 2495 sq.ft. (231.79 sq.m.),4.0,5.0,3+,22.0,West,Relatively New,2905.0,,2495.0,0,0,1,0,0,2,174,623.7525
sector 33,flat,unitech the residences,1.1,9909.0,1110.1,Super Built up area 1110(103.12 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,3,9.0,East,Moderately Old,1110.0,1100.0,1000.0,0,0,0,0,0,2,44,555.05
sector 89,flat,smart world gems,1.2,8433.0,1422.98,Built Up area: 1423 (132.2 sq.m.)Carpet area: 920 sq.ft. (85.47 sq.m.),3.0,3.0,2,2.0,East,Undefined,,1423.0,920.0,0,0,0,0,0,0,45,474.32666666666665
sector 13,house,independent,0.9,11464.0,785.1,Plot area 785(72.93 sq.m.),2.0,4.0,3.0,3.0,North-West,Moderately Old,,785.0,,1,1,1,0,1,0,0,392.55
sector 56,house,ansal sushant lok 2,3.4,22222.0,1530.0,Plot area 170(142.14 sq.m.),6.0,6.0,3+,2.0,West,Moderately Old,,1530.0,,0,0,0,0,0,2,29,255.0
sector 69,flat,tulip violet,1.4,8928.0,1568.1,Super Built up area 1568(145.67 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3.0,3.0,1,12.0,North,Relatively New,1568.0,,1200.0,0,1,0,0,0,0,174,522.6999999999999
sector 61,flat,smart world orchard,2.41,14785.0,1630.03,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3.0,3.0,3,2.0,East,New Property,,1630.0,1625.0,0,0,0,0,0,0,61,543.3433333333334
sector 91,flat,tarc maceo,1.75,11121.0,1573.6,Super Built up area 2724(253.07 sq.m.)Carpet area: 1573.59 sq.ft. (146.19 sq.m.),4.0,3.0,3+,8.0,South,Relatively New,2724.0,,1573.0,0,1,1,1,1,0,128,393.4
sector 66,house,emaar mgf marbella,9.0,21251.0,4235.1,Plot area 5605(520.72 sq.m.)Built Up area: 5200 sq.ft. (483.1 sq.m.)Carpet area: 4235 sq.ft. (393.44 sq.m.),4.0,4.0,3+,,South-West,Relatively New,,5200.0,4235.0,0,1,1,1,0,2,114,1058.775
sohna road,flat,silverglades the melia,0.78,5777.0,1350.18,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3,9.0,,Under Construction,1350.0,,,0,0,0,0,1,0,72,675.09
sector 109,flat,ats kocoon,2.95,10350.0,2850.24,Built Up area: 3150 (292.64 sq.m.)Carpet area: 2850 sq.ft. (264.77 sq.m.),4.0,4.0,3+,7.0,South-East,Relatively New,,3150.0,2850.0,0,0,1,1,0,2,158,712.56
sector 12,flat,511 sarahah tower,0.6,8333.0,720.03,Carpet area: 720 (66.89 sq.m.),2.0,2.0,1,0.0,,New Property,,,720.0,0,1,0,0,0,1,0,360.015
sector 40,house,independent,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3.0,3.0,2.0,3.0,North,Moderately Old,,900.0,,1,0,0,0,0,2,35,300.0
