sector,property_type,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,builtUpArea,others,pooja room,servant room,store room,study room,furnishing_type,luxury_score,area_to_bedroom
sector 105,flat,0.45,950.17,3.0,2.0,1,1.0,Relatively New,1056.0,0,0,0,0,0,2,44,316.7233333333333
sector 70a,flat,0.95,930.0,2.0,2.0,1,11.0,New Property,930.0,0,0,0,0,0,2,103,465.0
sector 104,flat,2.45,2450.0,3.0,4.0,3+,14.0,Relatively New,2131.0,0,0,1,0,0,2,56,816.6666666666666
sector 48,flat,1.8,1756.1,3.0,4.0,3,3.0,Moderately Old,1951.0,0,0,0,0,1,2,76,585.3666666666667
sector 71,flat,1.3,2350.39,4.0,4.0,3,5.0,Moderately Old,2127.0,0,0,1,0,0,0,126,587.5975
sector 99a,flat,1.45,1997.25,3.0,5.0,3,11.0,Relatively New,1807.0,1,0,1,0,0,2,49,665.75
sector 23,house,2.9,2500.0,4.0,4.0,3.0,2.0,Relatively New,2500.0,0,0,1,0,0,2,43,625.0
sector 108,flat,0.93,1529.86,2.0,3.0,3,10.0,Relatively New,1161.0,0,0,0,0,0,0,81,764.93
sohna road,flat,1.1,1457.15,3.0,2.0,3,13.0,Relatively New,1319.0,0,0,0,0,0,0,56,485.7166666666667
sector 12,house,1.7,1800.1,1.0,1.0,1.0,1.0,Old Property,1800.0,0,0,1,0,0,0,7,1800.1
sector 102,flat,1.95,2579.02,3.0,4.0,3,9.0,Relatively New,2334.0,0,0,1,0,1,2,83,859.6733333333333
sector 70a,house,5.4,2610.0,4.0,5.0,3+,3.0,Relatively New,2610.0,0,1,1,1,1,2,136,652.5
sector 113,flat,2.9,2298.12,4.0,4.0,3+,11.0,Under Construction,2553.0,0,0,1,0,1,0,49,574.53
sector 95,flat,0.55,645.01,3.0,2.0,2,14.0,New Property,811.0,0,0,0,0,1,2,81,215.00333333333333
sector 83,flat,1.72,1900.13,3.0,3.0,3,4.0,Relatively New,1600.0,0,0,1,0,0,2,165,633.3766666666667
sector 49,flat,1.95,1955.48,3.0,3.0,3,2.0,Old Property,1633.0,0,0,0,0,0,2,90,651.8266666666667
sector 108,flat,2.9,2003.04,3.0,4.0,2,11.0,Relatively New,2003.04,0,0,0,0,0,0,108,667.68
sector 12,house,0.42,510.0,3.0,3.0,0,2.0,New Property,567.0,0,1,0,0,0,0,0,170.0
sector 86,flat,1.25,1480.17,2.0,2.0,3,13.0,Moderately Old,1339.0,0,0,0,0,1,0,6,740.085
sector 111,house,9.0,8000.0,5.0,5.0,3+,3.0,Relatively New,8000.0,0,0,1,0,0,0,112,1600.0
sector 54,house,5.7,2430.0,4.0,4.0,0,1.0,Moderately Old,2430.0,0,0,0,0,0,0,46,607.5
sector 103,flat,0.8,1361.01,2.0,2.0,3,3.0,New Property,1089.0,0,1,0,0,0,0,174,680.505
sector 92,flat,0.49,998.17,2.0,2.0,2,2.0,Relatively New,1109.0,0,0,0,0,0,0,96,499.085
sushant lok,house,3.49,1728.0,4.0,4.0,2.0,3.0,Moderately Old,1728.0,0,1,1,0,1,2,49,432.0
sector 93,flat,0.85,597.04,2.0,2.0,0,10.0,Relatively New,597.0,0,0,0,0,0,0,0,298.52
sector 45,flat,2.25,2875.03,4.0,4.0,2,9.0,Old Property,3194.0,0,0,1,0,0,1,23,718.7575
sector 95,flat,0.37,644.15,3.0,2.0,1,6.0,Relatively New,716.0,0,1,0,0,0,2,72,214.71666666666667
c block,house,3.35,1242.0,1.0,1.0,0,1.0,Old Property,1242.0,0,0,0,0,0,0,9,1242.0
sector 67a,flat,1.62,1727.08,3.0,3.0,2,4.0,New Property,1346.0,0,0,0,1,0,2,142,575.6933333333333
sector 102,flat,1.45,1650.17,3.0,3.0,3,8.0,Relatively New,1300.0,0,0,1,0,0,0,49,550.0566666666667
sector 66,flat,1.32,1153.64,2.0,2.0,2,6.0,Relatively New,1048.0,0,0,0,0,0,0,45,576.82
sector 72,flat,3.9,2905.03,4.0,4.0,3+,39.0,Relatively New,2509.0,1,0,1,0,0,0,49,726.2575
sector 111,flat,1.65,2324.93,3.0,4.0,3+,14.0,Under Construction,2104.0,1,0,1,0,0,0,8,774.9766666666666
sector 45,house,17.0,4500.1,5.0,8.0,3+,3.0,Relatively New,4500.0,0,1,1,1,1,1,152,900.0200000000001
sector 33,flat,1.79,1590.97,3.0,3.0,3,3.0,Old Property,1619.0,0,0,0,0,0,0,71,530.3233333333334
sector 107,flat,0.37,548.07,2.0,2.0,1,10.0,Relatively New,496.0,0,0,0,0,0,0,73,274.035
sector 9a,flat,0.75,1290.21,3.0,3.0,3,6.0,Old Property,1433.0,0,1,0,0,0,0,31,430.07
sector 33,flat,1.1,1275.07,2.0,2.0,2,4.0,Under Construction,1275.0,0,0,0,0,0,0,0,637.535
sector 69,flat,0.9,1500.0,3.0,2.0,3+,1.0,Relatively New,1326.0,0,0,0,0,0,2,149,500.0
sohna road,flat,0.35,629.04,2.0,2.0,1,2.0,New Property,699.0,0,0,0,0,0,0,74,314.52
surat nagar,house,0.36,459.0,2.0,2.0,1.0,1.0,Moderately Old,459.0,0,1,0,0,0,0,0,229.5
sector 56,flat,1.55,2000.0,3.0,3.0,3+,5.0,Old Property,1800.0,1,1,1,0,0,0,166,666.6666666666666
sector 61,flat,1.85,1250.0,2.0,2.0,2,3.0,New Property,1389.0,0,0,0,0,0,0,44,625.0
sector 56,flat,0.52,487.53,1.0,1.0,1,1.0,Old Property,475.0,0,0,0,0,0,0,34,487.53
sector 82,flat,0.78,1314.9,2.0,2.0,2,0.0,Relatively New,1175.0,0,0,0,0,0,2,103,657.45
sector 57,flat,5.5,6123.36,5.0,6.0,3+,19.0,Moderately Old,5010.0,0,1,1,0,0,2,153,1224.672
sector 62,flat,3.95,2588.13,3.0,3.0,3,33.0,New Property,2876.0,0,0,1,0,0,2,49,862.71
