sector,property_type,bedRoom,bathroom,builtUpArea,servant room,study room,luxury_category
sohna road,flat,2.0,2.0,1129.0,No,Yes,Medium
sector 36,flat,3.0,2.0,978.0,No,No,Low
sector 48,flat,3.0,3.0,2199.0,Yes,No,Medium
sector 83,flat,5.0,7.0,3200.0,Yes,No,High
dlf phase,house,4.0,3.0,1800.0,No,No,Low
sector 74,flat,2.0,2.0,1300.0,No,No,Medium
sector 40,house,9.0,9.0,2367.0,Yes,No,Medium
sector 70,flat,3.0,3.0,1457.0,No,No,Low
sector 99a,flat,3.0,5.0,1790.0,Yes,No,Low
sector 2,house,4.0,4.0,2400.0,Yes,No,Low
sector 1,flat,3.0,4.0,2232.0,Yes,No,Medium
sector 82,flat,2.0,2.0,1299.0,No,Yes,Medium
sector 69,house,1.0,1.0,763.0,No,No,Low
sector 92,flat,3.0,2.0,1240.0,No,No,Medium
sector 91,flat,4.0,4.0,2604.0,Yes,No,Medium
sector 85,flat,3.0,4.0,1925.0,No,No,Low
sector 37d,flat,3.0,3.0,1675.0,No,No,High
dlf phase,house,5.0,3.0,1350.0,No,No,Low
sector 65,flat,3.0,3.0,1717.06,Yes,Yes,Medium
sector 109,flat,3.0,4.0,1946.0,Yes,No,Medium
sector 81,flat,2.0,2.0,700.0,No,No,Medium
sector 37d,house,5.0,5.0,1900.0,No,No,Low
sector 4,house,2.0,3.0,675.0,No,No,Low
sector 33,house,5.0,7.0,4518.0,Yes,No,Medium
sector 52,house,3.0,3.0,1800.0,Yes,No,Low
sector 105,house,3.0,4.0,540.0,No,No,Low
gwal pahari,flat,3.0,3.0,1589.0,No,No,Medium
sector 90,flat,3.0,4.0,1493.0,Yes,No,Medium
sector 79,flat,2.0,2.0,1688.0,No,Yes,Low
sector 33,flat,2.0,2.0,1253.0,No,No,Low
dlf phase,house,9.0,9.0,5800.0,Yes,No,Medium
sector 70,flat,4.0,5.0,2114.0,Yes,No,Medium
sector 49,flat,1.0,1.0,720.0,No,No,Low
sector 48,house,5.0,6.0,9000.0,Yes,No,Medium
sector 50,flat,3.0,3.0,2600.0,Yes,No,High
sector 70a,house,4.0,4.0,2610.0,Yes,Yes,Medium
sector 81,flat,3.0,4.0,2280.0,Yes,No,Low
sohna road,flat,2.0,2.0,564.0,No,No,Medium
sector 85,flat,3.0,4.0,2179.0,Yes,No,Low
sector 50,house,5.0,6.0,3240.0,No,No,Medium
sector 8,house,2.0,3.0,900.0,No,No,Low
sohna road,house,2.0,3.0,1053.0,No,Yes,Medium
sector 2,house,4.0,5.0,5200.0,No,No,Low
sector 56,flat,3.0,4.0,2278.0,Yes,No,Medium
sector 89,flat,2.0,3.0,1502.0,No,Yes,Medium
sector 103,flat,2.0,2.0,1232.0,No,No,Medium
sector 85,flat,3.0,3.0,1402.0,No,No,Medium
sohna road,flat,2.0,2.0,500.0,No,No,Low
sector 85,flat,2.0,2.0,1630.0,No,No,High
sector 2,flat,3.0,4.0,1738.0,Yes,No,Medium
sector 46,house,5.0,4.0,1449.0,Yes,No,Medium
sector 86,flat,3.0,3.0,1700.0,No,No,High
sector 95,flat,2.0,2.0,1364.0,No,No,Low
sector 78,flat,3.0,2.0,1472.0,No,No,Medium
sector 49,flat,3.0,3.0,2030.0,No,No,Low
sector 104,flat,4.0,4.0,2800.0,Yes,No,High
sector 85,flat,3.0,4.0,1616.0,Yes,No,Medium
sector 95,flat,2.0,2.0,571.0,No,No,Low
sector 48,house,4.0,4.0,4000.0,Yes,Yes,Low
sector 104,flat,3.0,4.0,2303.0,Yes,No,High
sector 91,flat,4.0,4.0,2468.0,Yes,Yes,Medium
sector 82a,flat,2.0,2.0,1000.0,No,No,Low
sector 102,flat,2.0,2.0,582.0,No,No,High
sector 108,flat,3.0,3.0,1338.0,Yes,Yes,Medium
sector 33,flat,3.0,3.0,1900.0,Yes,No,Low
sector 93,house,3.0,2.0,1152.0,No,No,Medium
sector 65,flat,4.0,4.0,1975.07,Yes,Yes,High
sector 66,flat,3.0,3.0,2200.0,No,Yes,Medium
sector 69,flat,3.0,3.0,1419.0,No,No,Medium
sector 14,house,4.0,4.0,3150.0,No,No,Low
sohna road,flat,2.0,2.0,556.0,No,No,Low
sector 43,flat,4.0,4.0,3115.0,No,No,Medium
sector 2,house,3.0,4.0,900.0,No,No,Low
sector 83,flat,3.0,2.0,1588.0,No,No,Low
sector 92,flat,4.0,5.0,1717.0,Yes,No,Low
sector 49,flat,3.0,3.0,2444.0,No,No,Medium
sector 108,flat,3.0,4.0,2003.12,No,No,Low
sector 67a,flat,3.0,4.0,1941.0,No,Yes,High
sector 28,flat,1.0,1.0,995.0,No,Yes,Medium
sector 65,flat,2.0,2.0,1433.05,No,Yes,Low
sector 108,flat,2.0,3.0,978.0,Yes,No,Medium
sector 92,flat,2.0,2.0,1195.0,No,No,Low
manesar,flat,3.0,4.0,2717.0,Yes,No,Low
sector 89,flat,3.0,3.0,1581.0,No,Yes,Medium
sector 65,flat,3.0,3.0,1600.0,Yes,Yes,Low
sector 70,flat,2.0,2.0,1222.0,No,Yes,Low
sector 79,flat,3.0,3.0,1176.0,No,No,Medium
c block,house,9.0,9.0,3510.0,Yes,No,Low
sector 65,flat,2.0,2.0,1433.0,No,No,Low
sector 109,house,4.0,5.0,3600.0,Yes,Yes,Low
sector 92,flat,3.0,3.0,579.0,No,No,Low
sector 61,flat,2.0,2.0,1278.0,No,Yes,Low
sushant lok,house,1.0,1.0,1242.0,No,No,Low
sector 81,flat,2.0,2.0,667.0,No,No,Low
sector 66,flat,2.0,3.0,1330.0,Yes,No,Medium
dlf phase,house,4.0,4.0,1080.0,No,Yes,Low
dlf phase,house,3.0,9.0,1935.0,Yes,Yes,Medium
sector 78,flat,1.0,2.0,822.0,No,No,Low
sector 37c,flat,1.0,1.0,669.0,No,No,Low
sector 113,flat,2.0,2.0,1310.0,No,No,Medium
sector 70,flat,6.0,7.0,5333.0,Yes,Yes,Medium
manesar,house,3.0,1.0,1337.0,No,No,Low
sector 108,flat,4.0,4.0,2500.0,Yes,No,High
sector 79,flat,2.0,2.0,1300.0,No,Yes,Low
sector 69,flat,2.0,2.0,536.0,No,No,Medium
sector 82,flat,2.0,2.0,1026.0,No,Yes,Medium
sector 2,house,3.0,3.0,594.0,No,No,Low
sector 12,flat,3.0,3.0,1178.0,No,No,Low
sector 90,flat,4.0,4.0,2468.0,Yes,No,Medium
sector 37c,flat,3.0,3.0,1845.0,Yes,Yes,Low
sohna road,flat,1.0,1.0,484.0,No,No,Low
sector 108,flat,2.0,2.0,1250.0,No,No,Medium
sector 48,house,4.0,5.0,3195.0,Yes,Yes,Medium
sector 77,flat,3.0,4.0,1611.0,Yes,No,Medium
sector 113,flat,3.0,3.0,1980.0,Yes,No,Medium
dlf phase,house,4.0,4.0,3618.0,Yes,No,Medium
sector 22,flat,3.0,4.0,2600.0,Yes,No,Medium
sector 61,flat,3.0,3.0,1765.94,No,No,Low
sector 66,house,4.0,4.0,2114.6,Yes,No,Medium
sector 92,flat,3.0,2.0,1556.0,No,No,Low
sohna road,flat,2.0,2.0,978.0,No,No,Low
sector 79,flat,2.0,4.0,1223.0,No,No,Medium
sector 36a,flat,2.0,2.0,856.0,No,No,Low
sector 33,flat,2.0,2.0,1533.0,No,No,Medium
sector 84,flat,3.0,3.0,1833.0,Yes,No,Low
sector 90,flat,4.0,4.0,2139.0,Yes,No,Medium
sector 33,flat,2.0,2.0,84.0,No,No,Medium
sector 2,flat,3.0,4.0,1738.0,Yes,No,Medium
sector 85,flat,2.0,2.0,1475.0,No,No,Low
sector 7,house,2.0,4.0,1102.0,No,No,Low
south city,flat,3.0,3.0,1640.03,No,No,Medium
sector 37c,flat,3.0,4.0,2134.0,Yes,No,Medium
sector 82a,flat,3.0,3.0,1668.0,No,No,Low
sohna road,flat,2.0,2.0,1016.0,No,No,Medium
sector 89,flat,3.0,2.0,1403.0,No,No,Medium
sector 110,flat,5.0,5.0,3511.0,Yes,No,High
sector 84,flat,3.0,3.0,1652.0,No,No,Medium
sector 85,flat,3.0,4.0,2400.0,Yes,No,High
sector 67,flat,3.0,3.0,2047.12,No,No,High
sector 66,house,5.0,6.0,3240.0,Yes,Yes,High
sector 113,flat,5.0,6.0,7294.0,No,No,Medium
sohna road,flat,2.0,2.0,640.0,No,No,Low
sector 11,flat,2.0,2.0,699.0,No,No,Low
dlf phase,flat,3.0,3.0,1294.0,No,No,Medium
sector 109,flat,3.0,2.0,1701.0,No,No,Medium
sector 3,house,2.0,4.0,450.0,No,No,Low
sector 65,flat,3.0,3.0,1493.0,Yes,Yes,Low
gwal pahari,flat,3.0,3.0,1778.0,No,No,Low
sector 4,house,2.0,2.0,450.0,Yes,Yes,Low
sector 3,house,2.0,1.0,900.0,No,No,Low
sector 70a,flat,3.0,3.0,1946.0,Yes,No,Medium
sector 2,house,4.0,4.0,3000.0,No,No,Low
sector 52,house,9.0,9.0,2700.0,Yes,No,Low
sector 99,flat,2.0,2.0,1235.0,No,No,Medium
sector 104,flat,3.0,4.0,2018.0,Yes,No,Medium
sector 70a,flat,3.0,3.0,1900.0,Yes,No,Medium
sector 28,flat,4.0,3.0,2488.0,Yes,No,Low
sector 89,flat,2.0,3.0,1226.0,Yes,Yes,Medium
sector 103,flat,3.0,3.0,1620.0,No,Yes,High
dlf phase,house,5.0,5.0,9500.0,Yes,No,Low
sector 92,flat,2.0,2.0,1217.0,No,Yes,Low
c block,house,2.0,8.0,60.0,No,No,Medium
sector 85,flat,2.0,2.0,1484.0,No,No,High
sector 82,house,4.0,3.0,3240.0,No,No,Low
dlf phase,house,5.0,4.0,4518.0,Yes,Yes,Medium
sector 47,house,2.0,6.0,1728.0,No,No,Medium
sector 95,flat,2.0,2.0,713.0,No,Yes,Medium
a block,house,3.0,3.0,1935.0,No,No,Medium
sector 102,flat,3.0,3.0,2250.0,Yes,No,Medium
sector 65,flat,3.0,3.0,3027.0,Yes,Yes,Medium
sushant lok,house,3.0,4.0,1935.0,Yes,No,Medium
sector 60,flat,2.0,3.0,1403.0,No,Yes,Medium
sector 90,flat,2.0,3.0,1350.0,No,No,Medium
sector 109,flat,1.0,1.0,965.0,No,No,Low
sector 90,flat,2.0,2.0,1222.0,No,Yes,Medium
sector 107,flat,3.0,4.0,2137.0,Yes,No,Medium
sector 86,flat,2.0,2.0,557.0,Yes,Yes,Medium
sector 104,flat,3.0,3.0,1490.0,No,No,Medium
sector 50,house,4.0,4.0,2700.0,Yes,No,Medium
sector 85,flat,2.0,2.0,1173.0,No,Yes,Medium
sector 33,flat,3.0,3.0,1619.0,No,No,Low
sector 102,flat,2.0,2.0,1230.0,No,No,Medium
sector 79,flat,3.0,4.0,2152.0,Yes,No,Low
sector 78,flat,2.0,2.0,1625.0,No,No,Low
sector 39,house,1.0,1.0,892.0,No,No,Low
sector 108,flat,3.0,3.0,1750.0,Yes,No,High
sector 102,flat,3.0,3.0,2200.0,Yes,Yes,Low
south city,house,6.0,7.0,4500.0,Yes,No,Medium
sector 81,flat,4.0,4.0,2599.0,Yes,No,High
sector 56,flat,4.0,4.0,2081.0,No,No,Low
sector 3,house,1.0,1.0,1000.0,No,No,Low
sector 56,house,4.0,4.0,1503.0,No,No,Low
sector 89,flat,3.0,3.0,1423.0,No,Yes,Medium
sector 65,flat,3.0,3.0,1081.0,Yes,No,Medium
sohna road,flat,1.0,1.0,443.0,No,No,Low
sector 2,house,4.0,4.0,1845.0,No,No,Low
sector 62,flat,4.0,4.0,4200.0,Yes,No,Medium
sector 68,flat,2.0,2.0,1244.0,No,No,Medium
sector 38,house,6.0,6.0,1836.0,Yes,Yes,Low
dlf phase,house,6.0,8.0,4500.0,Yes,Yes,Medium
dlf phase,house,5.0,6.0,2700.0,Yes,Yes,Medium
sector 79,flat,2.0,2.0,1556.0,Yes,Yes,Medium
sector 86,flat,2.0,2.0,578.0,No,No,Low
new gurgaon,flat,2.0,2.0,1086.0,No,No,Low
sector 79,flat,2.0,2.0,1252.0,No,No,High
sector 58,flat,4.0,5.0,3182.0,Yes,Yes,Low
sector 109,house,4.0,4.0,5400.0,Yes,No,Low
sector 66,flat,3.0,3.0,1950.13,Yes,Yes,Medium
sector 84,flat,1.0,1.0,387.0,No,No,Low
sohna road,flat,2.0,2.0,534.0,No,No,Medium
sector 104,flat,3.0,4.0,1669.0,Yes,No,Medium
sector 102,flat,3.0,3.0,1676.0,No,No,Low
sector 81,flat,2.0,2.0,613.0,No,No,Medium
sector 3,house,1.0,1.0,1000.0,No,No,Low
sector 95,flat,2.0,2.0,670.0,No,Yes,Medium
sector 83,flat,2.0,2.0,990.0,No,No,High
sector 99a,flat,2.0,2.0,577.0,No,No,Low
sector 36a,flat,1.0,1.0,452.0,No,No,Low
sector 79,flat,3.0,3.0,1656.0,No,No,Low
sector 83,flat,2.0,2.0,1127.0,No,No,Low
sushant lok,house,7.0,8.0,9000.0,Yes,No,Low
sector 54,house,4.0,4.0,1440.0,Yes,No,Low
sector 33,flat,3.0,3.0,2218.0,Yes,No,Low
sector 81,flat,4.0,5.0,2882.0,Yes,No,Medium
sector 92,flat,3.0,3.0,1572.0,No,No,Low
sector 52,flat,4.0,4.0,1484.0,No,No,Medium
sector 3,house,2.0,3.0,450.0,No,No,Low
sector 103,flat,2.0,2.0,1338.0,No,No,High
sector 89,flat,2.0,2.0,1226.0,No,Yes,Low
sector 85,flat,3.0,4.0,2398.0,Yes,No,High
sector 104,flat,1.0,2.0,334.0,No,No,Medium
sector 86,flat,3.0,4.0,2068.0,Yes,No,Medium
sector 14,house,3.0,3.0,4518.0,Yes,Yes,Low
sector 1,flat,3.0,3.0,1914.0,Yes,No,Low
sector 68,flat,2.0,2.0,1127.0,No,No,Medium
sector 88a,flat,2.0,2.0,1452.0,No,No,Medium
sector 69,flat,4.0,4.0,1389.0,No,No,High
sector 104,flat,1.0,1.0,301.0,No,No,Medium
sector 15,house,3.0,3.0,3231.0,No,No,Medium
sector 2,house,2.0,2.0,583.0,No,No,Low
sector 82,flat,2.0,2.0,1299.0,No,Yes,Medium
sector 70a,flat,2.0,2.0,1285.0,No,No,Low
sector 104,flat,4.0,4.0,2851.0,Yes,No,Medium
sector 33,flat,3.0,3.0,1697.0,No,No,Low
sector 2,flat,1.0,1.0,665.0,No,No,Medium
sector 81,flat,3.0,4.0,1903.0,Yes,No,High
sector 90,flat,3.0,3.0,1437.0,Yes,No,Medium
sector 107,flat,3.0,3.0,1750.0,No,No,Low
sector 39,flat,5.0,4.0,3556.0,Yes,No,Low
sector 49,flat,1.0,1.0,500.0,No,No,Low
sector 86,flat,4.0,4.0,2038.0,Yes,No,Medium
sector 72,flat,4.0,4.0,4500.0,Yes,Yes,High
sector 81,flat,2.0,2.0,955.0,No,No,Medium
sector 89,flat,3.0,3.0,1288.0,No,No,Low
sector 70,flat,2.0,2.0,1222.0,No,Yes,Low
sector 26,house,4.0,4.0,4518.0,No,No,Low
sector 90,flat,2.0,2.0,1176.0,No,Yes,Low
sector 4,flat,3.0,2.0,1500.0,No,No,Low
sector 57,house,3.0,4.0,1620.0,Yes,Yes,Low
sector 4,house,3.0,3.0,2250.0,No,No,Low
sector 37c,flat,3.0,3.0,1537.0,No,No,Medium
sohna road,flat,2.0,2.0,616.0,No,No,Medium
sector 65,flat,4.0,4.0,2194.0,Yes,Yes,Low
sector 50,flat,4.0,4.0,3395.0,No,No,Low
sector 56,flat,4.0,4.0,2900.0,No,No,Medium
sector 103,flat,4.0,6.0,2456.0,Yes,No,High
dlf phase,house,6.0,8.0,4518.0,Yes,Yes,Medium
sector 65,flat,3.0,4.0,1833.0,Yes,Yes,High
sector 3,flat,2.0,2.0,1307.0,No,No,Medium
sector 103,flat,2.0,2.0,1080.0,No,Yes,High
sector 81,flat,4.0,4.0,2527.0,Yes,No,Medium
sector 84,flat,2.0,2.0,1158.0,No,No,Low
sector 7,house,2.0,2.0,1440.0,No,No,Low
sector 113,flat,3.0,3.0,2210.0,Yes,No,High
sohna road,flat,2.0,2.0,720.0,No,No,Low
sector 89,flat,3.0,3.0,1946.0,Yes,No,Low
sector 37d,flat,3.0,3.0,1500.0,No,No,Low
sector 89,flat,2.0,2.0,1230.0,No,Yes,Low
sohna road road,house,2.0,2.0,1150.0,No,No,Low
sector 109,house,4.0,4.0,5400.0,No,No,Medium
sector 89,flat,2.0,2.0,1371.0,No,Yes,Low
sector 91,flat,3.0,4.0,1786.0,Yes,Yes,Medium
sector 110,flat,4.0,5.0,3000.0,Yes,No,High
sector 12,house,4.0,6.0,1710.0,No,No,Low
sector 79,flat,2.0,2.0,1172.0,No,No,Low
sector 36,flat,1.0,1.0,458.0,No,No,Medium
sector 70a,house,5.0,4.0,2610.0,Yes,No,Low
sector 84,flat,2.0,2.0,1018.0,No,No,Medium
sector 79,flat,2.0,2.0,1012.0,No,No,Low
sector 56,flat,3.0,2.0,1275.0,No,No,High
sector 45,house,5.0,4.0,3240.0,Yes,No,Low
sector 85,flat,2.0,2.0,1512.0,No,No,Low
sector 109,flat,3.0,3.0,1550.0,No,No,Low
sector 48,flat,3.0,3.0,1895.0,No,No,Low
sector 109,house,5.0,7.0,6228.0,Yes,Yes,Medium
sector 102,flat,2.0,2.0,915.0,No,No,Low
sector 52,flat,3.0,3.0,1800.0,No,No,Medium
sector 37d,flat,3.0,3.0,1561.0,No,No,Medium
sector 70a,flat,2.0,2.0,1449.0,No,No,Medium
sector 76,flat,3.0,3.0,1513.0,No,No,Medium
sector 81,flat,3.0,3.0,1650.0,No,No,Medium
sector 108,flat,3.0,2.0,1550.0,Yes,No,High
sector 107,flat,3.0,2.0,717.0,No,No,Low
sector 53,flat,3.0,4.0,2500.0,Yes,No,High
mehrauli gurgaon,flat,3.0,4.0,1956.0,No,No,Low
sohna road road,flat,2.0,2.0,1350.0,No,No,Low
sohna road,flat,2.0,2.0,694.0,No,No,Medium
sector 28,flat,3.0,3.0,2983.0,Yes,No,Low
sector 26,house,4.0,4.0,1800.0,Yes,Yes,Medium
sector 72,flat,3.0,4.0,2185.14,Yes,No,High
sector 38,house,3.0,9.0,1494.0,No,No,Low
sector 70a,flat,3.0,3.0,1600.0,Yes,Yes,Low
sector 7,flat,2.0,2.0,824.0,No,No,Low
dlf phase,house,4.0,4.0,4500.0,No,Yes,Low
sector 109,house,4.0,5.0,2430.0,Yes,No,Medium
surat nagar,house,2.0,2.0,795.0,No,Yes,Low
sector 50,flat,3.0,4.0,1870.0,Yes,No,High
sector 92,flat,3.0,1.0,1316.0,No,No,Medium
sector 102,flat,3.0,4.0,1757.0,Yes,No,Medium
sector 99,flat,2.0,2.0,784.0,No,No,Low
sohna road,flat,2.0,2.0,1081.0,No,No,Medium
sector 85,flat,3.0,3.0,1350.0,No,No,Low
sector 91,flat,2.0,2.0,1186.0,No,No,Medium
sector 53,flat,3.0,4.0,2683.0,No,Yes,Medium
sector 85,flat,3.0,4.0,1450.0,Yes,No,Medium
sohna road,flat,2.0,2.0,577.0,No,No,Low
sector 65,flat,3.0,3.0,2267.0,Yes,No,Low
sector 86,flat,2.0,2.0,668.0,No,No,Medium
sector 50,house,4.0,4.0,3400.0,Yes,No,Medium
sector 70,flat,2.0,2.0,1500.0,No,Yes,Medium
sector 54,house,4.0,4.0,2844.0,Yes,No,Medium
sohna road,flat,2.0,2.0,644.0,No,No,Low
sohna road,flat,2.0,2.0,533.0,No,No,Medium
sector 7,flat,2.0,2.0,1000.0,No,No,Medium
sector 33,flat,2.0,2.0,1252.0,No,No,Low
sector 85,flat,3.0,4.0,2300.0,Yes,No,Low
sector 1,flat,3.0,3.0,1900.0,Yes,No,Medium
sector 102,flat,2.0,2.0,1017.0,No,No,Low
sector 70,flat,2.0,2.0,991.0,No,No,Low
sector 70,flat,2.0,2.0,1026.0,No,Yes,Low
dlf phase,flat,4.0,2.0,1382.0,No,No,Low
sector 108,flat,3.0,3.0,1649.0,No,No,Medium
sohna road,flat,2.0,2.0,527.0,No,No,Medium
sector 109,house,4.0,5.0,2430.0,Yes,No,Medium
sector 108,flat,3.0,2.0,1991.0,No,No,Medium
sector 102,flat,3.0,3.0,1314.0,Yes,No,Medium
sector 68,flat,2.0,2.0,1127.0,No,No,Medium
sector 78,flat,3.0,3.0,1853.0,No,No,Low
sector 37d,flat,2.0,2.0,625.0,No,No,Low
sector 7,house,2.0,2.0,1080.0,No,No,Medium
sector 92,flat,4.0,3.0,2104.0,Yes,No,Medium
sector 65,flat,3.0,3.0,3245.0,Yes,No,High
sector 53,flat,3.0,4.0,2217.0,Yes,No,Low
gwal pahari,flat,2.0,2.0,1130.0,No,No,Medium
sector 50,house,5.0,5.0,3240.0,Yes,No,Low
sector 86,house,2.0,3.0,50.0,No,No,Low
sector 66,flat,3.0,4.0,1800.0,Yes,No,High
sector 74,flat,3.0,3.0,1900.0,No,Yes,High
sector 108,flat,2.0,3.0,978.0,No,Yes,Medium
sector 37d,flat,4.0,3.0,1983.0,No,Yes,Medium
sector 55,house,4.0,4.0,1449.0,No,No,Low
sohna road,flat,3.0,3.0,1382.0,No,No,High
sector 65,flat,3.0,3.0,1666.67,No,No,Medium
sector 92,flat,4.0,3.0,1719.0,No,No,Low
sector 85,flat,2.0,2.0,1660.0,No,No,Low
sector 105,house,2.0,2.0,2000.0,No,No,Low
sector 92,flat,3.0,3.0,2278.0,Yes,No,Low
sohna road,flat,2.0,2.0,650.0,No,No,Medium
dlf phase,house,2.0,2.0,1450.0,No,No,Low
sector 3,flat,2.0,2.0,1161.0,No,No,Low
sohna road,flat,2.0,2.0,516.0,No,No,Low
sector 102,flat,3.0,3.0,1314.0,Yes,No,Medium
sector 84,flat,3.0,3.0,1849.0,Yes,No,Medium
dlf phase,house,6.0,6.0,4518.0,Yes,Yes,Medium
sohna road,flat,2.0,2.0,1131.0,No,Yes,Low
sector 102,flat,3.0,3.0,1314.0,No,No,High
sector 108,flat,2.0,2.0,1505.0,No,No,Low
sector 92,flat,2.0,2.0,1083.0,No,No,Low
sohna road,flat,2.0,2.0,1100.0,No,Yes,High
sector 84,flat,2.0,2.0,528.0,No,No,Low
sector 106,flat,3.0,3.0,2224.0,Yes,No,Low
sector 48,house,3.0,6.0,2592.0,Yes,No,Medium
sector 56,flat,4.0,4.0,2667.0,No,No,Low
sector 65,flat,3.0,3.0,1493.0,Yes,Yes,High
sector 12,house,5.0,5.0,1350.0,No,No,Low
sohna road,flat,2.0,2.0,833.0,No,No,Medium
sector 106,flat,4.0,5.0,1535.0,Yes,No,Low
sector 5,house,5.0,5.0,3400.0,No,No,Low
sector 69,flat,3.0,3.0,1428.0,No,No,Low
sector 3,flat,3.0,2.0,1000.0,No,No,Low
sector 12,house,2.0,2.0,1494.0,No,No,Low
sector 79,flat,2.0,2.0,1325.0,No,Yes,Low
sector 85,flat,2.0,2.0,1484.0,No,No,Low
sector 48,flat,3.0,3.0,1576.0,Yes,No,High
sector 69,flat,3.0,3.0,1510.0,No,No,High
sector 4,house,2.0,1.0,500.0,No,No,Low
sector 77,flat,3.0,4.0,1582.0,Yes,No,Low
sector 90,flat,2.0,2.0,1199.0,No,Yes,Medium
sector 82a,flat,4.0,4.0,2179.0,Yes,No,High
b block,house,5.0,6.0,2700.0,Yes,Yes,Medium
sector 65,flat,3.0,4.0,2754.0,Yes,No,High
sector 23,house,8.0,8.0,2520.0,Yes,Yes,Medium
sector 107,flat,2.0,2.0,1281.0,No,Yes,High
sector 28,flat,3.0,4.0,2000.0,Yes,No,High
sector 110,flat,5.0,5.0,3466.0,Yes,No,Medium
sector 84,flat,4.0,4.0,2998.0,Yes,No,Medium
sector 9,house,2.0,3.0,450.0,No,No,Low
sector 83,flat,3.0,3.0,1500.0,Yes,No,High
sohna road,flat,2.0,2.0,743.0,No,No,Low
sohna road,flat,2.0,2.0,1350.0,No,No,Medium
sector 37d,house,1.0,1.0,1535.0,No,No,Low
sector 12,house,3.0,3.0,900.0,No,No,Low
sector 68,flat,2.0,2.0,1311.0,No,No,Medium
sector 70,flat,4.0,5.0,2169.0,Yes,No,High
sector 2,flat,1.0,1.0,588.0,No,No,Low
sector 111,flat,4.0,5.0,2670.0,Yes,No,Medium
sector 1,flat,3.0,3.0,1900.0,Yes,No,Medium
sector 89,flat,3.0,3.0,2122.0,Yes,No,Low
sector 88b,flat,2.0,4.0,1350.0,No,Yes,Medium
sector 90,flat,2.0,2.0,796.0,No,No,Low
sector 85,flat,2.0,2.0,1263.0,No,No,Medium
sector 92,flat,3.0,3.0,1523.0,No,No,Low
sector 107,flat,2.0,2.0,543.0,No,No,Low
sector 49,flat,3.0,3.0,2178.0,No,No,Medium
sector 109,flat,3.0,3.0,2000.0,No,No,High
sector 83,flat,4.0,4.0,1970.0,Yes,No,Medium
sohna road,flat,2.0,2.0,588.0,No,No,Low
sector 50,flat,3.0,3.0,1894.0,No,No,Medium
sector 50,flat,4.0,4.0,11111.0,Yes,No,Low
sector 48,flat,5.0,5.0,3305.0,Yes,No,Medium
sector 33,flat,4.0,4.0,2000.0,Yes,No,Low
dlf phase,house,5.0,6.0,2700.0,Yes,No,Medium
sector 92,flat,4.0,5.0,1895.0,No,No,Medium
sector 108,flat,2.0,2.0,1235.0,No,No,High
sector 109,flat,3.0,3.0,1550.0,No,No,Medium
sector 65,flat,2.0,2.0,1186.0,No,No,High
sohna road,flat,2.0,2.0,822.0,No,No,Medium
sector 89,flat,2.0,2.0,672.0,No,No,Medium
sector 90,flat,3.0,3.0,1700.0,No,No,Medium
sector 1,flat,3.0,2.0,1508.0,No,No,Low
sector 57,house,5.0,5.0,5580.0,Yes,Yes,High
sector 90,flat,3.0,4.0,1765.0,Yes,No,Medium
sector 86,house,4.0,4.0,2800.0,Yes,No,Medium
sector 102,flat,3.0,4.0,1945.0,Yes,Yes,Medium
sushant lok,house,5.0,5.0,2700.0,Yes,No,Medium
sector 102,flat,2.0,2.0,828.0,No,No,Medium
sector 104,flat,4.0,5.0,2582.0,Yes,No,Medium
sector 77,flat,2.0,2.0,1214.0,No,No,Medium
sector 65,flat,4.0,4.0,2194.0,Yes,Yes,High
sector 9a,flat,3.0,3.0,1438.0,No,No,Low
sector 85,flat,4.0,5.0,2545.0,No,No,Medium
sector 104,flat,2.0,2.0,1403.0,No,No,Medium
sector 47,house,8.0,6.0,3240.0,Yes,Yes,Low
sector 69,flat,3.0,3.0,1428.0,No,No,Medium
sector 82a,flat,3.0,3.0,1668.0,No,No,High
sector 56,flat,3.0,3.0,1810.0,Yes,No,Medium
sector 81,flat,3.0,3.0,1929.0,Yes,No,High
sector 84,flat,2.0,2.0,1457.0,No,Yes,Medium
sector 62,flat,2.0,2.0,1676.0,No,No,Medium
sector 92,flat,3.0,2.0,1298.0,No,No,Medium
sector 62,flat,4.0,6.0,3867.0,Yes,No,High
sector 83,flat,3.0,3.0,1468.0,No,No,Medium
sector 69,flat,4.0,4.0,1783.0,No,No,Medium
dlf phase,house,5.0,6.0,4518.0,Yes,No,Medium
sector 107,flat,3.0,2.0,850.0,No,No,Low
sector 28,flat,3.0,4.0,3133.0,Yes,No,Low
sohna road,flat,2.0,2.0,523.0,No,No,Medium
sector 9a,flat,4.0,3.0,1833.0,No,No,Low
sector 92,flat,4.0,3.0,1983.0,No,No,Medium
sector 102,flat,3.0,3.0,1300.0,Yes,No,Low
sector 102,flat,3.0,3.0,1465.0,No,No,Low
sector 90,flat,4.0,5.0,2248.0,Yes,Yes,Medium
sector 57,flat,3.0,3.0,2036.0,No,No,Medium
sector 103,flat,3.0,3.0,1671.0,No,Yes,High
sector 47,flat,4.0,4.0,2857.0,No,No,Medium
sector 84,flat,2.0,2.0,531.0,No,No,Medium
sector 15,house,4.0,3.0,1800.0,No,No,Low
sector 102,flat,3.0,3.0,1314.0,No,No,Low
